pclass,survived,sex,age,sibsp,parch
3rd,died,male,48.0,0,0
3rd,died,male,17.0,1,0
3rd,survived,female,,0,0
3rd,survived,male,,0,0
3rd,died,male,34.0,0,0
3rd,survived,male,26.0,0,0
3rd,died,male,22.0,0,0
3rd,died,male,33.0,0,0
3rd,died,male,31.0,0,0
3rd,died,male,29.0,0,0
3rd,survived,male,4.0,1,1
3rd,survived,female,1.0,1,1
3rd,died,male,49.0,0,0
3rd,died,male,33.0,0,0
3rd,died,male,19.0,0,0
3rd,survived,female,27.0,0,2
3rd,died,male,,1,2
3rd,died,female,,1,2
3rd,died,male,,1,2
3rd,died,female,,1,2
3rd,died,male,23.0,0,0
3rd,survived,male,32.0,0,0
3rd,died,male,27.0,0,0
3rd,died,female,20.0,1,0
3rd,died,female,21.0,1,0
3rd,survived,male,32.0,0,0
3rd,died,male,17.0,0,0
3rd,died,male,21.0,0,0
3rd,died,male,30.0,0,0
3rd,survived,male,21.0,0,0
3rd,died,male,33.0,0,0
3rd,died,male,22.0,0,0
3rd,survived,female,4.0,0,1
3rd,survived,male,39.0,0,1
3rd,died,male,,0,0
3rd,died,male,18.5,0,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,survived,female,,0,0
3rd,survived,female,,0,0
3rd,died,male,34.5,0,0
3rd,died,male,44.0,0,0
3rd,survived,male,,0,0
3rd,died,male,,1,0
3rd,died,female,,1,0
3rd,died,male,,1,0
3rd,died,male,,1,0
3rd,died,male,,0,0
3rd,died,female,22.0,2,0
3rd,died,male,26.0,2,0
3rd,survived,female,4.0,0,2
3rd,survived,male,29.0,3,1
3rd,survived,female,26.0,1,1
3rd,died,female,1.0,1,1
3rd,died,male,18.0,1,1
3rd,died,female,36.0,0,2
3rd,died,male,,0,0
3rd,survived,male,25.0,0,0
3rd,died,male,,0,0
3rd,died,female,37.0,0,0
3rd,died,male,,0,0
3rd,survived,male,,0,0
3rd,died,male,,0,0
3rd,survived,female,22.0,0,0
3rd,died,male,,0,0
3rd,survived,male,26.0,0,0
3rd,died,male,29.0,0,0
3rd,died,male,29.0,0,0
3rd,died,male,22.0,0,0
3rd,survived,male,22.0,0,0
3rd,died,male,,3,1
3rd,died,female,,3,1
3rd,died,female,,3,1
3rd,died,female,,3,1
3rd,died,female,,0,4
3rd,died,male,32.0,0,0
3rd,died,male,34.5,0,0
3rd,died,female,,1,0
3rd,died,male,,1,0
3rd,died,male,36.0,0,0
3rd,died,male,39.0,0,0
3rd,died,male,24.0,0,0
3rd,died,female,25.0,0,0
3rd,died,female,45.0,0,0
3rd,died,male,36.0,1,0
3rd,died,female,30.0,1,0
3rd,survived,male,20.0,1,0
3rd,died,male,,0,0
3rd,died,male,28.0,0,0
3rd,died,male,,0,0
3rd,died,male,30.0,1,0
3rd,died,female,26.0,1,0
3rd,died,male,,0,0
3rd,died,male,20.5,0,0
3rd,survived,male,27.0,0,0
3rd,died,male,51.0,0,0
3rd,survived,female,23.0,0,0
3rd,survived,male,32.0,0,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,survived,female,,0,0
3rd,survived,male,24.0,0,0
3rd,died,male,22.0,0,0
3rd,died,female,,0,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,male,29.0,0,0
3rd,survived,male,,0,0
3rd,died,female,30.5,0,0
3rd,survived,female,,0,0
3rd,died,male,,0,0
3rd,died,male,35.0,0,0
3rd,died,male,33.0,0,0
3rd,survived,female,,0,0
3rd,died,male,,0,0
3rd,survived,female,,0,0
3rd,survived,male,,0,0
3rd,survived,female,,2,0
3rd,survived,female,,2,0
3rd,survived,male,,2,0
3rd,survived,female,,0,0
3rd,died,male,,0,0
3rd,survived,female,,0,0
3rd,survived,female,15.0,0,0
3rd,died,female,35.0,0,0
3rd,died,male,,0,0
3rd,died,male,24.0,1,0
3rd,died,female,19.0,1,0
3rd,died,female,,0,0
3rd,died,female,,0,0
3rd,died,female,,0,0
3rd,died,male,55.5,0,0
3rd,died,male,,0,0
3rd,survived,male,21.0,0,0
3rd,died,male,,0,0
3rd,died,male,24.0,0,0
3rd,died,male,21.0,0,0
3rd,died,male,28.0,0,0
3rd,died,male,,0,0
3rd,survived,female,,0,0
3rd,died,male,25.0,0,0
3rd,survived,male,6.0,0,1
3rd,survived,female,27.0,0,1
3rd,died,male,,0,0
3rd,survived,female,,1,0
3rd,died,male,,1,0
3rd,died,male,,0,0
3rd,died,male,34.0,0,0
3rd,died,male,,0,0
3rd,survived,male,,0,0
3rd,survived,male,,1,1
3rd,survived,male,,1,1
3rd,survived,female,,0,2
3rd,survived,female,,0,0
3rd,died,male,,0,0
3rd,survived,female,,0,0
3rd,survived,female,24.0,0,0
3rd,died,male,,0,0
3rd,survived,female,,1,0
3rd,survived,female,,1,0
3rd,survived,female,,0,0
3rd,died,male,18.0,0,0
3rd,died,male,22.0,0,0
3rd,survived,female,15.0,0,0
3rd,survived,female,1.0,0,2
3rd,survived,male,20.0,1,1
3rd,survived,female,19.0,1,1
3rd,died,male,33.0,0,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,female,,0,0
3rd,died,male,,0,0
3rd,survived,male,12.0,1,0
3rd,survived,female,14.0,1,0
3rd,died,female,29.0,0,0
3rd,died,male,28.0,0,0
3rd,survived,female,18.0,0,0
3rd,survived,female,26.0,0,0
3rd,died,male,21.0,0,0
3rd,died,male,41.0,0,0
3rd,survived,male,39.0,0,0
3rd,died,male,21.0,0,0
3rd,died,male,28.5,0,0
3rd,survived,female,22.0,0,0
3rd,died,male,61.0,0,0
3rd,died,male,,1,0
3rd,died,male,,0,0
3rd,survived,female,,1,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,male,23.0,0,0
3rd,died,female,,0,0
3rd,survived,female,,0,0
3rd,survived,female,,0,0
3rd,survived,female,22.0,0,0
3rd,survived,male,,0,0
3rd,survived,female,,0,0
3rd,survived,male,9.0,0,1
3rd,died,male,28.0,0,0
3rd,died,male,42.0,0,1
3rd,died,male,,0,0
3rd,died,female,31.0,0,0
3rd,died,male,28.0,0,0
3rd,survived,male,32.0,0,0
3rd,died,male,20.0,0,0
3rd,died,female,23.0,0,0
3rd,died,female,20.0,0,0
3rd,died,male,20.0,0,0
3rd,died,male,16.0,0,0
3rd,survived,female,31.0,0,0
3rd,died,female,,0,0
3rd,died,male,2.0,3,1
3rd,died,male,6.0,3,1
3rd,died,female,3.0,3,1
3rd,died,female,8.0,3,1
3rd,died,female,29.0,0,4
3rd,died,male,1.0,4,1
3rd,died,male,7.0,4,1
3rd,died,male,2.0,4,1
3rd,died,male,16.0,4,1
3rd,died,male,14.0,4,1
3rd,died,female,41.0,0,5
3rd,died,male,21.0,0,0
3rd,died,male,19.0,0,0
3rd,died,male,,0,0
3rd,died,male,32.0,0,0
3rd,died,male,0.75,1,1
3rd,died,female,3.0,1,1
3rd,died,female,26.0,0,2
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,male,21.0,0,0
3rd,died,male,25.0,0,0
3rd,died,male,22.0,0,0
3rd,survived,male,25.0,1,0
3rd,survived,male,,1,1
3rd,survived,female,,1,1
3rd,survived,female,,0,2
3rd,died,female,,0,0
3rd,died,male,24.0,0,0
3rd,died,female,28.0,0,0
3rd,died,male,19.0,0,0
3rd,died,male,,0,0
3rd,died,male,25.0,1,0
3rd,died,female,18.0,0,0
3rd,survived,male,32.0,0,0
3rd,died,male,,0,0
3rd,died,male,17.0,0,0
3rd,died,male,24.0,0,0
3rd,died,male,,0,0
3rd,died,female,,0,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,male,38.0,0,0
3rd,died,male,21.0,0,0
3rd,died,male,10.0,4,1
3rd,died,male,4.0,4,1
3rd,died,male,7.0,4,1
3rd,died,male,2.0,4,1
3rd,died,male,8.0,4,1
3rd,died,female,39.0,0,5
3rd,died,female,22.0,0,0
3rd,died,male,35.0,0,0
3rd,survived,female,,0,0
3rd,died,male,,0,0
3rd,died,female,,0,0
3rd,died,male,50.0,1,0
3rd,died,female,47.0,1,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,female,2.0,1,1
3rd,died,male,18.0,1,1
3rd,died,female,41.0,0,2
3rd,survived,female,,0,0
3rd,died,male,50.0,0,0
3rd,died,male,16.0,0,0
3rd,survived,male,,0,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,male,25.0,0,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,male,38.5,0,0
3rd,died,male,,8,2
3rd,died,male,14.5,8,2
3rd,died,female,,8,2
3rd,died,female,,8,2
3rd,died,female,,8,2
3rd,died,female,,8,2
3rd,died,male,,8,2
3rd,died,male,,8,2
3rd,died,male,,8,2
3rd,died,male,,1,9
3rd,died,female,,1,9
3rd,died,male,24.0,0,0
3rd,survived,female,21.0,0,0
3rd,died,male,39.0,0,0
3rd,died,male,,2,0
3rd,died,male,,2,0
3rd,died,male,,2,0
3rd,survived,female,1.0,1,1
3rd,survived,female,24.0,0,2
3rd,survived,female,4.0,1,1
3rd,survived,male,25.0,0,0
3rd,died,male,20.0,0,0
3rd,died,male,24.5,0,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,survived,male,29.0,0,0
3rd,died,male,,0,0
3rd,survived,female,,0,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,male,22.0,0,0
3rd,died,male,,0,0
3rd,died,male,40.0,0,0
3rd,died,male,21.0,0,0
3rd,survived,female,18.0,0,0
3rd,died,male,4.0,3,2
3rd,died,male,10.0,3,2
3rd,died,female,9.0,3,2
3rd,died,female,2.0,3,2
3rd,died,male,40.0,1,4
3rd,died,female,45.0,1,4
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,survived,female,,0,0
3rd,died,male,19.0,0,0
3rd,died,male,30.0,0,0
3rd,died,male,,0,0
3rd,died,male,32.0,0,0
3rd,died,male,,0,0
3rd,died,male,33.0,0,0
3rd,survived,female,23.0,0,0
3rd,died,male,21.0,0,0
3rd,died,male,60.5,0,0
3rd,died,male,19.0,0,0
3rd,died,female,22.0,0,0
3rd,survived,male,31.0,0,0
3rd,died,male,27.0,0,0
3rd,died,female,2.0,0,1
3rd,died,female,29.0,1,1
3rd,survived,male,16.0,0,0
3rd,survived,male,44.0,0,0
3rd,died,male,25.0,0,0
3rd,died,male,74.0,0,0
3rd,survived,male,14.0,0,0
3rd,died,male,24.0,0,0
3rd,survived,male,25.0,0,0
3rd,died,male,34.0,0,0
3rd,survived,male,0.416700006,0,1
3rd,died,male,,1,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,survived,female,16.0,1,1
3rd,died,male,,0,0
3rd,died,male,,1,0
3rd,survived,female,,1,0
3rd,died,male,32.0,0,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,male,30.5,0,0
3rd,died,male,44.0,0,0
3rd,died,male,,0,0
3rd,survived,male,25.0,0,0
3rd,died,male,,0,0
3rd,survived,male,7.0,1,1
3rd,survived,female,9.0,1,1
3rd,survived,female,29.0,0,2
3rd,died,male,36.0,0,0
3rd,survived,female,18.0,0,0
3rd,survived,female,63.0,0,0
3rd,died,male,,1,1
3rd,died,male,11.5,1,1
3rd,died,male,40.5,0,2
3rd,died,female,10.0,0,2
3rd,died,male,36.0,1,1
3rd,died,female,30.0,1,1
3rd,died,male,,0,0
3rd,died,male,33.0,0,0
3rd,died,male,28.0,0,0
3rd,died,male,28.0,0,0
3rd,died,male,47.0,0,0
3rd,died,female,18.0,2,0
3rd,died,male,31.0,3,0
3rd,died,male,16.0,2,0
3rd,died,female,31.0,1,0
3rd,survived,male,22.0,0,0
3rd,died,male,20.0,0,0
3rd,died,female,14.0,0,0
3rd,died,male,22.0,0,0
3rd,died,male,22.0,0,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,male,32.5,0,0
3rd,survived,female,38.0,0,0
3rd,died,male,51.0,0,0
3rd,died,male,18.0,1,0
3rd,died,male,21.0,1,0
3rd,survived,female,47.0,1,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,male,28.5,0,0
3rd,died,male,21.0,0,0
3rd,died,male,27.0,0,0
3rd,died,male,,0,0
3rd,died,male,36.0,0,0
3rd,died,male,27.0,1,0
3rd,survived,female,15.0,1,0
3rd,died,male,45.5,0,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,female,14.5,1,0
3rd,died,female,,1,0
3rd,died,male,26.5,0,0
3rd,died,male,27.0,0,0
3rd,died,male,29.0,0,0
