survived,sex,age,passengerClass
no,female,9.0,3rd
no,female,2.0,3rd
no,male,40.0,3rd
no,female,45.0,3rd
no,male,,3rd
no,male,,3rd
no,male,,3rd
no,male,,3rd
yes,female,,3rd
no,male,19.0,3rd
no,male,30.0,3rd
no,male,,3rd
no,male,32.0,3rd
no,male,,3rd
no,male,33.0,3rd
yes,female,23.0,3rd
no,male,21.0,3rd
no,male,60.5,3rd
no,male,19.0,3rd
no,female,22.0,3rd
yes,male,31.0,3rd
no,male,27.0,3rd
no,female,2.0,3rd
no,female,29.0,3rd
yes,male,16.0,3rd
yes,male,44.0,3rd
no,male,25.0,3rd
no,male,74.0,3rd
yes,male,14.0,3rd
no,male,24.0,3rd
yes,male,25.0,3rd
no,male,34.0,3rd
yes,male,0.416700006,3rd
no,male,,3rd
no,male,,3rd
no,male,,3rd
yes,female,16.0,3rd
no,male,,3rd
no,male,,3rd
yes,female,,3rd
no,male,32.0,3rd
no,male,,3rd
no,male,,3rd
no,male,30.5,3rd
no,male,44.0,3rd
no,male,,3rd
yes,male,25.0,3rd
no,male,,3rd
yes,male,7.0,3rd
yes,female,9.0,3rd
yes,female,29.0,3rd
no,male,36.0,3rd
yes,female,18.0,3rd
yes,female,63.0,3rd
no,male,,3rd
no,male,11.5,3rd
no,male,40.5,3rd
no,female,10.0,3rd
no,male,36.0,3rd
no,female,30.0,3rd
no,male,,3rd
no,male,33.0,3rd
no,male,28.0,3rd
no,male,28.0,3rd
no,male,47.0,3rd
no,female,18.0,3rd
no,male,31.0,3rd
no,male,16.0,3rd
no,female,31.0,3rd
yes,male,22.0,3rd
no,male,20.0,3rd
no,female,14.0,3rd
no,male,22.0,3rd
no,male,22.0,3rd
no,male,,3rd
no,male,,3rd
no,male,,3rd
no,male,32.5,3rd
yes,female,38.0,3rd
no,male,51.0,3rd
no,male,18.0,3rd
no,male,21.0,3rd
yes,female,47.0,3rd
no,male,,3rd
no,male,,3rd
no,male,,3rd
no,male,28.5,3rd
no,male,21.0,3rd
no,male,27.0,3rd
no,male,,3rd
no,male,36.0,3rd
no,male,27.0,3rd
yes,female,15.0,3rd
no,male,45.5,3rd
no,male,,3rd
no,male,,3rd
no,female,14.5,3rd
no,female,,3rd
no,male,26.5,3rd
no,male,27.0,3rd
no,male,29.0,3rd
