name,party,state,money_pro,money_con,years,stance,chamber
"Coburn, Tom", R,OK,41500.0,25800,7,leaning no,senate
"Cochran, Thad", R,MS,,,33,yes,senate
"Collins, Susan", R,ME,4750.0,5000,15,undecided,senate
"Conrad, Kent", D,ND,3500.0,1000,25,unknown,senate
"Coons, Christopher", D,DE,92700.0,23950,3,yes,senate
"Corker, Bob", R,TN,21250.0,7600,5,yes,senate
"Cornyn, John", R,TX,18150.0,21800,9,leaning no,senate
"Crapo, Michael", R,ID,33500.0,53670,13,unknown,senate
"DeMint, Jim", R,SC,56500.0,50950,7,no,senate
"Durbin, Richard", D,IL,13050.0,5000,15,yes,senate
"Enzi, Michael", R,WY,2000.0,,15,yes,senate
"Feinstein, Dianne", D,CA,54750.0,33300,19,yes,senate
"Franken, Al", D,MN,88900.0,30300,3,yes,senate
"Gillibrand, Kirsten", D,NY,360541.0,217750,3,yes,senate
"Graham, Lindsey", R,SC,21993.0,5250,9,yes,senate
"Grassley, Charles", R,IA,111150.0,92976,31,yes,senate
"Hagan, Kay", D,NC,21000.0,15000,3,yes,senate
"Harkin, Tom", D,IA,27400.0,2000,27,unknown,senate
"Hatch, Orrin", R,UT,37300.0,20500,35,no,senate
"Heller, Dean", R,NV,36800.0,7500,1,unknown,senate
"Hoeven, John", R,ND,37500.0,41355,1,unknown,senate
"Hutchison, Kay", R,TX,2500.0,2000,19,unknown,senate
"Inhofe, James", R,OK,1000.0,6900,19,no,senate
"Inouye, Daniel", D,HI,99900.0,61500,43,unknown,senate
"Isakson, Johnny", R,GA,97400.0,74000,7,yes,senate
"Johanns, Mike", R,NE,6500.0,5750,3,no,senate
"Johnson, Ron", R,WI,20400.0,20550,1,unknown,senate
"Johnson, Tim", D,SD,2500.0,,15,yes,senate
"Kerry, John", D,MA,46700.0,23250,27,unknown,senate
"Kirk, Mark", R,IL,75900.0,49850,3,leaning no,senate
"Klobuchar, Amy", D,MN,32200.000000000004,25823,5,yes,senate
"Kohl, Herb", D,WI,,,23,yes,senate
"Kyl, Jon", R,AZ,8500.0,12500,17,yes,senate
"Landrieu, Mary", D,LA,2500.0,11350,15,yes,senate
"Lautenberg, Frank", D,NJ,5500.0,-1000,27,undecided,senate
"Leahy, Patrick", D,VT,346056.0,140620,37,yes,senate
"Lee, Mike", R,UT,16500.0,63800,1,leaning no,senate
"Levin, Carl", D,MI,,,33,unknown,senate
"Lieberman, Joseph", I,CT,4800.0,8250,23,yes,senate
"Lugar, Richard", R,IN,,550000,35,unknown,senate
"Manchin III, Joe", D,WV,34200.0,33750,3,unknown,senate
"McCain, John", R,AZ,104472.0,116318,25,yes,senate
"McCaskill, Claire", D,MO,44475.0,24300,5,leaning no,senate
"McConnell, Mitch", R,KY,21200.0,30250,27,unknown,senate
"Menendez, Robert", D,NJ,53150.0,33500,6,yes,senate
"Merkley, Jeff", D,OR,9500.0,23050,3,no,senate
"Mikulski, Barbara", D,MD,22866.0,51050,25,undecided,senate
"Moran, Jerry", R,KS,23250.0,16743,1,no,senate
"Murkowski, Lisa", R,AK,50900.0,19050,11,no,senate
"Murray, Patty", D,WA,99166.0,363129,19,unknown,senate
"Nelson, Ben", D,NE,24200.0,2000,11,undecided,senate
"Nelson, Bill", D,FL,17750.0,18100,11,yes,senate
"Paul, Rand", R,KY,14300.0,53195,1,no,senate
"Portman, Rob", R,OH,81265.0,148500,1,unknown,senate
"Pryor, Mark", D,AR,250000.0,9000,9,no,senate
"Reed, Jack", D,RI,,,15,unknown,senate
"Reid, Harry", D,NV,500300.0,299448,25,yes,senate
"Risch, Jim", R,ID,2500.0,1250,3,yes,senate
"Roberts, Pat", R,KS,5800.0,7250,15,no,senate
"Rockefeller IV, John", D,WV,31000.0,7500,27,unknown,senate
"Rubio, Marco", R,FL,55050.0,94107,1,no,senate
"Sanders, Bernard", I,VT,11550.0,5591,5,unknown,senate
"Schumer, Charles", D,NY,494325.0,291384,13,yes,senate
"Sessions, Jeff", R,AL,1000.0,3000,15,leaning no,senate
"Shaheen, Jeanne", D,NH,3250.0,16500,3,yes,senate
"Shelby, Richard", R,AL,28000.0,101250,25,unknown,senate
"Snowe, Olympia", R,ME,22500.0,10000,17,undecided,senate
"Stabenow, Debbie", D,MI,20600.0,26100,11,unknown,senate
"Tester, Jon", D,MT,20300.0,4850,5,unknown,senate
"Thune, John", R,SD,97915.0,80300,7,unknown,senate
"Toomey, Patrick", R,PA,43500.0,82222,1,no,senate
"Udall, Mark", D,CO,4375.0,9000,4,no,senate
"Udall, Tom", D,NM,11500.0,2000,4,yes,senate
"Vitter, David", R,LA,74850.0,26502,7,no,senate
"Warner, Mark", D,VA,19550.0,61250,3,no,senate
"Webb, Jim", D,VA,6000.0,18150,5,unknown,senate
"Whitehouse, Sheldon", D,RI,10250.0,23476,5,yes,senate
"Wicker, Roger", R,MS,7750.0,11700,5,unknown,senate
"Wyden, Ron", D,OR,67200.0,189350,16,no,senate
