state,demVote,year,south
New Hampshire,54.13,2008,false
New Jersey,57.14,2008,false
New Mexico,56.91,2008,false
New York,62.88,2008,false
North Carolina,49.7,2008,true
North Dakota,44.5,2008,false
Ohio,51.38,2008,false
Oklahoma,34.35,2008,false
Oregon,56.75,2008,false
Pennsylvania,54.47,2008,false
Rhode Island,62.86,2008,false
South Carolina,44.9,2008,true
South Dakota,44.75,2008,false
Tennessee,41.79,2008,true
Texas,43.63,2008,true
Utah,34.22,2008,false
Vermont,67.46,2008,false
Virginia,52.63,2008,true
Washington,57.34,2008,false
West Virginia,42.51,2008,false
Wisconsin,56.22,2008,false
Wyoming,32.54,2008,false
Alabama,38.36,2012,true
Alaska,40.81,2012,false
Arizona,44.45,2012,false
Arkansas,36.88,2012,true
California,60.19,2012,false
Colorado,51.45,2012,false
Connecticut,58.06,2012,false
DC,90.91,2012,false
Delaware,58.61,2012,false
Florida,49.91,2012,true
Georgia,45.43,2012,true
Hawaii,70.55,2012,false
Idaho,32.4,2012,false
Illinois,57.55,2012,false
Indiana,43.85,2012,false
Iowa,51.99,2012,false
Kansas,37.99,2012,false
Kentucky,37.8,2012,false
Louisiana,40.58,2012,true
Maine,56.27,2012,false
Maryland,61.97,2012,false
Massachusetts,60.65,2012,false
Michigan,54.09,2012,false
Minnesota,52.65,2012,false
Mississippi,43.79,2012,true
Missouri,44.38,2012,false
Montana,41.66,2012,false
Nebraska,38.03,2012,false
Nevada,52.36,2012,false
New Hampshire,51.98,2012,false
New Jersey,58.25,2012,false
New Mexico,52.99,2012,false
New York,63.33,2012,false
North Carolina,48.35,2012,true
North Dakota,38.7,2012,false
Ohio,50.58,2012,false
Oklahoma,33.23,2012,false
Oregon,54.24,2012,false
Pennsylvania,51.96,2012,false
Rhode Island,62.7,2012,false
South Carolina,44.09,2012,true
South Dakota,39.87,2012,false
Tennessee,39.04,2012,true
Texas,41.37,2012,true
Utah,24.67,2012,false
Vermont,66.57,2012,false
Virginia,51.16,2012,true
Washington,55.81,2012,false
West Virginia,35.53,2012,false
Wisconsin,52.83,2012,false
Wyoming,27.82,2012,false
Alabama,34.36,2016,true
Alaska,36.55,2016,false
Arizona,44.58,2016,false
Arkansas,33.65,2016,true
California,61.48,2016,false
Colorado,48.16,2016,false
Connecticut,54.57,2016,false
Delaware,53.09,2016,false
DC,90.86,2016,false
Florida,47.41,2016,true
Georgia,45.35,2016,true
Hawaii,62.22,2016,false
Idaho,27.48,2016,false
Illinois,55.24,2016,false
Indiana,37.46,2016,false
Iowa,41.74,2016,false
Kansas,35.74,2016,false
Kentucky,32.68,2016,false
Louisiana,38.45,2016,true
Maine,47.83,2016,false
Maryland,60.33,2016,false
Massachusetts,60.01,2016,false
Michigan,47.03,2016,false
Minnesota,46.44,2016,false
Mississippi,40.06,2016,true
Missouri,37.87,2016,false
Montana,35.41,2016,false
Nebraska,33.7,2016,false
Nevada,47.92,2016,false
New Hampshire,46.83,2016,false
New Jersey,54.99,2016,false
New Mexico,48.26,2016,false
New York,59.0,2016,false
North Carolina,46.17,2016,true
North Dakota,27.23,2016,false
Ohio,43.24,2016,false
Oklahoma,28.93,2016,false
Oregon,50.07,2016,false
Pennsylvania,47.46,2016,false
Rhode Island,54.41,2016,false
South Carolina,40.67,2016,true
South Dakota,31.74,2016,false
Tennessee,34.72,2016,true
Texas,43.12,2016,true
Utah,27.17,2016,false
Vermont,56.68,2016,false
Virginia,49.75,2016,true
Washington,52.54,2016,false
West Virginia,26.18,2016,false
Wisconsin,46.45,2016,false
