wages,education,age,sex,language
17.1,13.0,29,Male,English
11.68,8.0,60,Male,French
,12.0,74,Female,English
7.0,13.0,26,Female,French
,13.0,38,Male,English
,12.0,72,Female,English
5.69,10.0,38,Female,English
,8.0,77,Female,Other
22.54,15.0,36,Male,English
,5.0,68,Male,French
8.53,13.0,37,Female,English
,8.0,67,Female,French
,10.0,46,Male,English
,8.0,72,Male,English
14.13,19.0,46,Male,English
16.32,14.5,45,Female,English
,10.0,85,Female,Other
,12.5,57,Male,English
,8.0,51,Male,English
12.29,17.5,28,Female,Other
,12.5,29,Female,English
9.23,12.0,36,Female,English
15.0,17.0,51,Male,English
19.61,13.9,31,Female,English
27.79,18.1,35,Female,English
,20.0,75,Male,English
10.56,16.0,24,Male,English
7.0,14.5,25,Female,Other
10.0,14.5,23,Male,Other
6.63,12.5,47,Female,English
,10.0,19,Female,
18.92,12.0,51,Male,English
,8.0,59,Male,English
18.24,14.1,40,Female,English
,14.0,69,Female,English
29.26,16.0,43,Male,English
16.45,13.0,34,Female,English
11.49,12.0,50,Female,Other
6.7,15.0,21,Female,English
13.25,12.5,37,Male,English
,11.0,51,Female,English
,10.0,76,Male,English
,14.3,34,Female,English
14.59,18.1,43,Female,English
,8.0,25,Male,Other
,10.0,70,Female,English
15.36,13.5,34,Male,English
16.4,13.0,55,Female,English
12.0,13.5,41,Male,English
9.15,12.0,17,Female,English
,17.0,29,Female,English
8.61,14.8,37,Female,English
25.58,17.3,42,Female,Other
21.6,12.0,42,Male,English
13.06,9.0,22,Male,Other
15.0,13.0,36,Male,English
9.0,14.0,31,Female,English
,17.0,88,Female,English
,15.0,43,Female,English
,13.0,71,Female,English
,12.0,26,Female,English
12.8,14.0,42,Female,English
16.0,16.0,32,Female,English
,12.0,26,Female,English
,0.0,75,Male,French
,12.6,45,Female,English
18.03,15.0,31,Female,English
,15.5,23,Female,English
,15.0,70,Female,Other
,15.0,75,Male,English
12.0,17.0,19,Female,English
,14.5,32,Female,English
18.26,14.0,29,Male,English
,12.0,28,Male,English
15.84,20.0,29,Male,English
,11.0,54,Female,English
6.76,13.0,29,Female,Other
19.68,11.0,43,Male,English
24.0,16.0,54,Male,English
7.0,12.0,31,Female,English
3.63,13.0,19,Male,English
,14.0,27,Male,English
,12.2,22,Male,English
,10.0,55,Female,Other
27.65,18.0,54,Male,English
17.87,17.0,25,Female,English
27.93,12.2,37,Male,French
14.35,10.0,34,Male,English
,11.5,47,Female,English
,8.0,69,Male,English
,12.0,21,Male,English
,7.0,66,Male,English
17.84,8.0,46,Male,English
15.0,12.0,44,Male,English
,19.0,61,Male,English
,11.0,67,Male,English
,11.5,79,Female,French
21.0,10.0,40,Female,English
25.0,16.0,37,Male,English
15.36,17.4,25,Female,English
,8.0,81,Female,Other
,10.5,61,Female,Other
21.12,17.0,45,Female,English
,15.0,66,Male,English
13.44,16.6,39,Female,English
,6.0,76,Female,Other
20.31,14.0,37,Male,English
,16.9,30,Female,English
,10.5,65,Male,English
9.41,13.8,21,Female,English
,12.0,76,Female,English
6.8,12.0,19,Female,English
23.04,11.0,57,Female,English
9.21,10.0,17,Male,English
,13.0,43,Female,French
13.63,13.0,25,Female,English
24.0,16.0,44,Male,English
20.95,13.0,42,Male,English
,14.0,39,Male,French
7.5,11.5,44,Female,Other
,12.3,42,Female,English
17.34,12.0,37,Male,English
7.05,10.0,19,Female,English
,12.0,65,Female,English
21.3,10.0,31,Female,English
,8.0,47,Female,Other
15.0,12.5,34,Male,English
,13.5,53,Male,French
,13.0,19,Female,English
13.56,13.0,43,Female,French
,8.5,45,Female,English
32.64,18.0,48,Male,English
47.88,19.0,49,Male,French
30.38,14.0,33,Male,English
23.0,14.0,45,Male,English
,20.0,61,Male,English
6.7,12.0,17,Male,English
23.04,12.0,35,Female,English
,5.0,86,Male,Other
13.82,10.0,53,Female,Other
6.54,12.0,17,Male,English
12.0,12.0,28,Male,English
,11.0,54,Female,English
16.7,19.0,59,Female,Other
12.8,14.5,36,Female,Other
20.0,16.0,47,Male,English
9.03,16.0,29,Female,English
,14.0,70,Female,English
30.24,18.0,47,Male,English
16.73,12.0,40,Female,English
10.0,9.0,64,Male,English
12.78,11.5,33,Male,English
,,68,Male,English
21.31,20.0,26,Male,English
,14.0,34,Female,English
45.36,15.7,24,Male,English
20.07,16.0,43,Male,English
,15.0,28,Male,
8.39,17.0,24,Female,English
,12.0,48,Female,English
,14.0,22,Female,English
,14.0,27,Female,English
19.2,12.0,34,Male,English
35.2,14.0,40,Female,English
6.71,12.0,65,Female,English
21.6,12.0,47,Male,English
,19.0,62,Male,English
,10.0,60,Female,French
23.06,19.0,23,Female,English
14.84,10.0,49,Male,English
19.18,9.0,48,Male,English
12.37,12.5,42,Female,English
21.04,12.0,37,Female,English
,8.0,61,Female,English
6.75,11.0,61,Female,Other
,10.0,16,Male,English
10.98,12.0,26,Male,English
12.0,13.6,19,Female,English
10.7,15.0,28,Female,English
17.67,15.0,36,Male,English
9.99,15.5,23,Male,English
28.8,12.2,45,Male,French
14.38,16.0,27,Female,English
,14.0,75,Male,English
,18.0,61,Male,English
,15.6,20,Female,English
11.81,10.0,39,Male,English
,12.0,69,Male,English
,17.0,65,Male,English
6.5,12.0,19,Female,Other
,15.6,32,Male,Other
22.0,10.0,47,Male,English
17.42,18.1,25,Female,
11.61,13.4,40,Female,English
9.43,12.0,35,Male,English
,12.5,66,Female,English
19.9,17.0,41,Male,English
8.65,13.1,20,Male,English
,10.0,51,Female,English
,11.0,65,Female,English
,11.0,18,Female,English
,11.0,23,Female,English
,14.0,32,Female,English
19.2,15.1,47,Male,English
,11.0,77,Male,English
10.18,12.0,28,Female,Other
6.76,10.0,16,Female,English
12.96,16.3,25,Female,English
,,73,Female,English
,11.0,59,Female,English
,16.0,34,Female,English
7.35,18.0,26,Female,English
,3.0,50,Male,Other
40.96,17.0,52,Male,English
13.59,12.5,29,Female,English
,12.5,42,Female,English
,7.0,66,Male,English
,18.5,36,Female,English
,11.0,66,Male,Other
,7.0,70,Female,Other
,13.0,40,Female,English
,12.5,61,Male,English
9.54,12.5,33,Male,English
14.49,10.0,46,Male,English
28.8,17.1,49,Male,Other
10.0,11.0,17,Male,English
6.7,14.0,21,Male,English
,12.5,74,Female,English
,17.0,48,Female,English
26.96,13.5,47,Male,English
12.19,13.0,19,Male,English
6.5,12.0,19,Female,English
32.91,17.0,52,Female,English
15.0,14.1,22,Female,English
15.0,14.0,31,Female,English
5.11,15.6,23,Female,English
7.0,15.0,18,Female,Other
31.2,10.0,52,Male,English
23.04,18.0,38,Female,English
,11.5,61,Female,English
,9.0,66,Female,English
,,47,Female,French
6.78,13.8,18,Male,English
15.36,15.0,52,Female,English
,10.0,57,Female,English
,12.5,40,Male,Other
,15.0,33,Male,English
,12.5,60,Female,French
13.68,11.0,49,Female,English
17.0,13.0,35,Female,English
,10.0,59,Female,English
,13.0,38,Female,English
,16.0,34,Female,English
,8.0,47,Female,English
,14.0,31,Female,English
,8.0,66,Female,English
,10.0,50,Male,English
,16.0,31,Male,English
,16.3,39,Male,English
25.92,14.0,53,Female,English
,8.0,60,Female,French
6.85,11.0,17,Male,English
13.92,14.0,31,Male,English
6.7,11.0,17,Female,English
16.59,20.0,26,Female,Other
14.06,12.3,19,Female,English
,10.0,66,Male,English
5.64,13.9,20,Male,English
10.45,19.3,45,Female,Other
,12.5,35,Male,English
14.34,10.6,38,Male,French
,,46,Male,French
14.11,17.0,30,Female,English
16.96,0.0,42,Female,English
6.7,17.0,24,Female,English
,10.0,61,Female,English
7.39,15.5,20,Female,Other
,11.0,63,Male,English
10.85,15.0,32,Female,English
3.31,9.0,34,Female,Other
,10.0,16,Female,French
28.8,12.0,59,Male,English
,13.0,46,Male,English
,10.0,17,Male,English
,13.0,66,Female,English
,11.0,16,Male,English
,8.0,64,Male,English
,3.0,72,Female,Other
,12.0,49,Male,Other
13.96,13.5,27,Male,English
10.0,14.0,26,Male,English
21.5,16.0,49,Female,English
,11.0,29,Female,English
,15.0,25,Female,English
12.81,12.0,54,Female,English
19.2,13.0,39,Female,English
,11.5,33,Female,English
,15.0,60,Male,English
17.76,15.0,27,Male,English
14.4,9.0,55,Female,English
,9.0,70,Male,French
40.0,14.0,38,Female,English
,,84,Male,English
10.87,8.0,51,Female,English
,12.0,64,Female,English
,17.0,75,Female,English
6.7,12.0,17,Male,English
,8.0,77,Male,English
,12.0,59,Female,Other
,14.0,30,Male,English
6.91,11.0,48,Female,English
,15.0,33,Female,English
,12.0,18,Female,English
,9.0,60,Male,French
15.72,16.0,43,Female,English
25.67,13.5,30,Male,Other
29.33,18.0,40,Female,English
20.0,12.3,42,Female,French
22.98,14.0,29,Male,English
10.0,15.0,40,Female,English
,8.8,53,Female,English
11.0,12.0,36,Male,English
8.09,14.0,22,Female,Other
8.5,17.1,27,Male,English
,12.0,59,Female,English
19.75,19.0,33,Male,English
27.27,14.8,40,Male,
11.0,12.0,56,Female,French
12.6,13.0,38,Female,French
25.98,15.0,47,Female,English
4.03,13.6,30,Female,English
,9.0,49,Male,English
,14.0,33,Female,English
18.0,14.0,31,Male,French
,13.0,32,Male,English
16.95,18.0,29,Female,English
,13.4,31,Female,French
,13.9,39,Female,English
8.0,8.0,30,Male,Other
,19.0,51,Male,English
,12.0,64,Female,English
,8.0,59,Female,English
,11.8,19,Female,Other
,6.0,63,Female,Other
,4.0,67,Male,English
,12.0,47,Female,English
3.19,13.0,18,Female,English
,13.0,28,Female,English
6.7,13.0,18,Female,English
,14.0,34,Female,English
15.87,15.0,30,Female,English
19.61,16.1,30,Female,English
11.67,10.0,55,Female,Other
6.8,11.0,17,Female,English
13.5,12.8,24,Male,English
,18.0,49,Male,English
7.95,12.5,33,Female,English
,4.0,69,Female,Other
6.7,13.0,19,Female,English
,13.0,60,Male,English
,14.0,52,Male,English
13.53,14.0,33,Male,English
20.63,,28,Female,English
,,31,Female,English
,8.0,65,Male,English
8.16,13.0,18,Male,English
28.8,16.0,33,Male,English
,13.0,64,Female,English
26.4,11.0,38,Male,English
25.93,15.0,42,Female,English
,14.0,53,Male,English
,18.4,50,Female,Other
13.44,12.0,64,Female,English
,12.0,37,Male,English
19.26,13.6,39,Male,English
6.75,11.0,19,Male,
8.5,8.0,53,Male,Other
,9.0,68,Male,Other
9.0,8.0,43,Male,English
12.0,12.0,21,Female,English
11.25,11.5,30,Male,English
6.0,13.0,17,Female,Other
,16.0,44,Female,Other
8.89,10.0,62,Male,English
26.4,17.0,39,Male,English
11.96,10.5,48,Female,Other
25.6,16.0,40,Male,English
,10.0,76,Female,English
23.04,15.5,56,Female,English
,10.0,16,Female,English
7.5,12.5,39,Female,English
,8.0,81,Female,English
22.2,12.0,48,Female,Other
6.85,11.0,18,Male,English
7.75,13.0,37,Male,English
12.0,13.0,22,Male,English
,14.0,28,Male,English
6.85,13.0,32,Female,English
,13.0,23,Male,English
22.5,15.4,62,Female,English
,12.0,36,Male,English
18.67,,53,Male,English
,10.0,35,Male,English
30.24,19.0,43,Female,English
7.0,,17,Male,
,11.0,56,Female,English
,13.0,33,Female,
13.02,13.0,37,Female,Other
,13.0,20,Female,English
26.48,15.0,33,Male,English
11.52,12.0,46,Male,Other
,,34,Female,English
,10.0,64,Female,French
17.76,12.0,42,Female,French
15.32,7.0,62,Male,English
6.49,18.3,24,Female,English
,17.1,63,Female,English
,18.0,48,Male,Other
6.46,15.3,28,Female,English
11.0,12.0,26,Female,English
,8.0,76,Male,English
7.0,12.5,34,Female,English
16.8,15.0,40,Male,English
21.0,16.5,47,Female,English
13.0,12.0,29,Female,English
,8.0,73,Male,English
26.35,14.0,36,Female,English
,12.0,35,Female,English
13.38,12.0,45,Female,English
15.0,19.0,40,Female,English
,8.0,62,Female,English
14.8,15.0,42,Male,English
27.03,14.0,32,Male,French
,10.0,62,Female,English
,15.0,64,Female,English
,9.0,52,Male,Other
,10.0,17,Male,English
,12.0,46,Male,Other
,16.0,27,Male,English
14.09,13.0,31,Male,English
,11.0,39,Male,English
,8.0,68,Female,Other
,9.0,69,Female,English
,12.0,49,Male,English
20.48,,43,Female,Other
,4.0,62,Female,Other
,8.0,39,Female,English
,13.5,73,Female,English
,13.5,58,Female,English
11.43,9.0,19,Female,English
,14.0,63,Female,French
4.03,10.4,17,Female,English
,12.0,17,Female,English
,12.0,76,Male,English
,9.0,19,Female,English
12.0,11.0,24,Male,English
9.6,9.0,52,Female,Other
18.65,12.0,28,Male,Other
14.0,,21,Female,English
,8.0,65,Male,French
32.16,18.0,40,Male,English
8.05,12.0,41,Female,English
8.0,10.4,34,Male,English
,8.0,74,Female,English
10.0,12.0,19,Male,English
7.45,14.0,35,Female,English
,8.0,65,Female,French
25.81,12.0,37,Male,English
29.98,17.0,44,Female,English
,13.1,19,Male,English
,10.0,65,Male,English
38.0,13.0,34,Male,English
,13.0,35,Female,English
,15.0,64,Male,English
,17.0,44,Male,English
12.6,12.0,40,Female,English
11.46,,36,Male,
16.46,10.5,44,Female,English
,11.0,61,Male,Other
20.64,18.0,50,Male,English
41.14,18.0,46,Female,English
,8.0,73,Female,English
,10.3,32,Female,French
10.21,14.0,21,Female,Other
9.25,8.0,55,Female,Other
,8.0,64,Male,Other
,17.1,23,Male,English
17.81,14.5,42,Female,Other
,14.0,61,Female,English
16.0,13.0,34,Male,English
17.28,15.0,36,Male,English
8.5,9.0,62,Female,English
11.35,12.2,48,Female,Other
18.24,13.4,29,Female,English
24.84,15.3,33,Male,English
6.87,6.0,55,Female,Other
18.07,15.6,27,Male,French
,10.0,67,Male,English
,7.0,65,Male,English
10.2,12.5,28,Female,English
14.28,12.0,39,Male,English
10.29,13.6,18,Female,English
15.57,12.0,39,Female,English
7.64,11.0,31,Male,English
24.69,13.0,54,Male,English
,14.9,21,Female,English
14.98,16.0,53,Male,English
8.0,11.5,46,Female,English
,17.0,24,Male,English
33.6,16.0,36,Male,English
8.74,12.0,23,Male,English
,11.0,47,Male,French
,8.0,77,Male,English
26.85,12.0,31,Female,French
42.93,20.0,64,Male,Other
,10.0,67,Male,Other
,14.0,70,Female,English
,20.0,47,Female,English
,15.5,65,Female,English
31.2,20.0,57,Male,English
25.34,16.0,29,Male,English
,11.0,73,Male,Other
,18.0,35,Male,English
16.67,18.4,39,Male,English
19.2,16.0,51,Male,English
20.48,17.0,27,Female,English
,0.0,59,Male,Other
9.17,9.5,63,Male,English
5.84,14.0,40,Female,Other
,7.0,74,Female,English
,10.0,78,Female,English
,20.0,54,Male,English
7.0,11.0,32,Male,Other
,10.0,53,Female,Other
,18.0,34,Male,English
,10.0,76,Male,English
7.0,9.0,33,Female,English
,19.3,64,Male,English
,10.5,50,Female,English
10.34,13.3,41,Female,English
,0.0,85,Female,Other
,18.0,95,Male,English
16.72,14.0,36,Female,English
,7.0,58,Male,French
9.6,11.0,41,Male,English
,12.7,23,Male,English
12.0,10.0,48,Female,Other
,14.0,28,Female,English
15.6,14.0,27,Male,English
24.76,15.0,64,Female,English
20.88,19.0,35,Male,Other
6.7,8.0,30,Female,English
44.28,15.0,59,Male,Other
22.08,11.0,54,Male,English
,8.0,66,Male,English
18.52,14.0,25,Male,English
16.78,14.1,35,Male,English
17.0,12.0,48,Female,English
,13.0,53,Female,English
,2.0,68,Female,English
,,58,Male,English
20.16,20.0,56,Male,English
,10.0,48,Male,English
,12.0,50,Male,Other
,16.0,35,Female,English
,20.0,83,Male,English
,8.0,59,Male,French
,10.0,64,Female,English
,10.0,16,Male,English
28.53,16.0,41,Male,English
6.85,10.0,16,Female,English
,13.0,72,Female,English
15.84,13.0,64,Male,English
,11.0,17,Female,English
,12.0,63,Female,English
,14.0,33,Male,English
,17.1,56,Female,Other
,4.5,58,Male,English
6.98,12.8,19,Female,English
21.25,12.0,42,Male,Other
,,33,Female,English
,18.0,39,Female,English
7.19,11.6,19,Female,Other
15.93,9.2,34,Female,Other
34.56,17.0,46,Male,English
,,66,Male,Other
13.44,12.0,39,Female,Other
8.09,8.0,41,Female,French
24.14,10.5,49,Male,English
,4.0,81,Female,English
21.38,10.0,58,Male,English
13.19,10.0,43,Female,English
23.04,11.0,39,Female,English
19.2,12.0,50,Female,English
19.2,18.0,35,Female,English
14.83,10.0,51,Male,English
,11.0,62,Male,Other
25.95,15.0,37,Female,English
18.57,13.5,31,Male,English
,12.0,18,Female,French
12.8,11.5,58,Female,English
18.43,20.0,30,Female,Other
15.52,17.0,25,Male,English
,11.5,65,Male,English
21.6,10.0,40,Male,French
9.2,18.0,27,Female,English
,8.0,51,Female,Other
,12.5,75,Male,English
8.7,19.0,25,Female,English
15.36,12.0,41,Female,English
10.0,16.0,23,Male,English
,9.0,45,Female,English
,14.0,37,Female,English
9.0,12.0,32,Male,English
7.97,10.3,29,Male,English
12.13,12.5,31,Male,English
7.06,15.5,23,Male,English
,12.5,39,Female,English
26.62,17.3,40,Male,English
,10.0,70,Male,Other
,12.0,37,Female,English
,14.0,55,Male,Other
,8.0,69,Female,English
,3.0,67,Male,Other
,5.0,74,Male,English
,13.6,37,Male,English
,8.0,55,Female,English
,13.0,19,Male,English
,10.0,52,Male,English
20.77,13.0,53,Female,English
20.16,12.5,30,Male,English
14.4,11.0,62,Male,English
,12.0,25,Female,English
6.72,10.0,18,Male,English
16.46,9.5,35,Male,French
,11.0,17,Male,English
,8.0,62,Female,French
,9.0,67,Female,French
,11.5,20,Female,English
10.0,15.2,25,Female,English
27.36,16.0,36,Male,English
15.84,13.0,61,Female,English
7.24,19.0,28,Female,English
10.0,12.0,22,Female,English
11.36,9.0,32,Male,English
7.5,12.0,21,Male,English
,15.5,75,Male,English
9.32,12.5,23,Female,English
34.56,19.2,51,Female,English
6.5,11.3,19,Male,English
6.75,15.3,24,Male,English
,8.0,59,Male,English
10.5,12.0,40,Female,English
13.44,9.5,38,Female,English
14.7,12.5,34,Male,English
,10.3,43,Male,English
17.01,13.6,32,Female,French
,13.0,25,Female,English
,12.0,77,Male,English
,8.0,59,Male,Other
,12.0,40,Male,French
30.46,11.0,57,Male,English
17.0,12.0,31,Female,English
49.92,20.0,41,Female,English
14.0,10.2,53,Male,English
45.38,18.0,36,Male,English
,8.0,64,Female,English
,3.0,62,Female,Other
,10.0,16,Female,English
16.96,19.0,28,Female,English
6.85,9.5,22,Female,English
,18.0,42,Female,English
,,55,Female,
10.71,10.0,52,Male,English
11.54,,40,Female,French
,10.0,16,Female,English
,18.0,82,Female,Other
,12.0,67,Male,English
10.0,14.1,37,Female,French
10.0,10.0,30,Female,English
19.93,15.0,48,Male,Other
27.84,18.0,50,Female,English
,12.0,29,Male,English
10.0,14.0,43,Female,
21.84,17.0,44,Female,English
27.14,17.2,28,Male,Other
,12.0,30,Female,Other
5.8,14.0,35,Female,English
,11.0,62,Female,Other
7.0,12.0,30,Female,English
15.36,12.0,39,Female,English
6.63,13.5,22,Female,English
15.3,11.0,56,Male,English
,13.0,62,Male,Other
4.88,12.6,20,Male,English
,18.0,22,Male,English
6.7,11.0,18,Female,English
,12.5,35,Female,English
,7.0,67,Female,English
22.22,9.0,23,Male,English
8.0,12.0,30,Male,
,12.0,39,Male,English
,7.0,70,Female,English
6.4,10.8,18,Female,English
21.53,10.5,38,Male,English
16.32,10.0,58,Female,English
,12.0,43,Male,Other
,13.5,19,Female,English
,10.0,45,Male,English
14.4,14.3,30,Female,English
20.68,10.0,48,Male,English
14.0,12.0,23,Male,English
12.1,14.0,36,Female,English
15.51,11.3,32,Male,English
16.86,13.6,32,Male,English
,13.0,73,Female,English
23.04,15.0,33,Female,English
,0.0,19,Female,English
,11.2,20,Male,French
,12.1,38,Female,French
14.0,17.5,25,Male,English
13.07,11.0,51,Female,Other
,17.0,69,Male,English
,20.0,74,Male,English
16.0,13.0,37,Female,Other
6.79,12.0,35,Female,English
,12.0,82,Female,English
9.0,13.5,28,Female,English
9.0,10.0,38,Female,English
,11.0,30,Female,English
,,16,Male,
,3.0,66,Female,English
,12.0,69,Female,English
20.0,13.0,57,Male,English
,12.0,47,Female,English
16.0,13.5,22,Male,English
27.31,17.0,44,Male,English
,6.0,86,Female,English
29.18,16.0,57,Female,English
6.9,10.0,60,Male,English
,12.0,32,Male,English
,10.0,41,Female,English
,14.1,35,Male,English
14.63,14.0,23,Female,Other
15.78,13.6,37,Female,English
24.96,16.0,37,Male,English
,8.0,63,Female,Other
21.06,15.0,59,Female,English
5.97,11.3,34,Female,French
25.72,8.0,57,Male,Other
18.41,16.0,28,Male,English
7.0,15.8,21,Female,English
,8.0,77,Female,English
15.79,19.0,38,Male,Other
10.0,8.0,54,Female,English
9.19,12.0,18,Male,English
19.2,12.6,33,Male,English
,12.0,29,Female,English
,8.0,85,Female,English
,12.0,30,Female,English
26.72,16.0,49,Female,French
10.26,13.0,31,Female,English
14.81,15.0,29,Male,English
7.5,12.0,38,Female,English
,11.0,81,Female,English
8.5,19.0,31,Female,English
16.5,12.0,37,Male,English
12.49,11.0,25,Female,French
10.47,11.0,29,Male,French
,17.8,38,Male,English
12.0,13.0,39,Female,Other
10.0,10.0,58,Female,English
,9.0,50,Female,English
25.26,15.5,48,Female,English
30.0,11.0,52,Female,English
,,38,Female,Other
12.0,12.0,34,Female,English
,16.0,64,Male,English
,12.0,19,Female,English
6.75,13.0,56,Female,English
,10.0,61,Male,English
8.99,10.0,18,Female,English
,,21,Female,English
,12.0,70,Male,English
,17.0,74,Male,English
,11.5,64,Female,English
,10.0,16,Male,English
,10.0,63,Female,English
,10.0,77,Male,English
3.41,16.0,22,Female,English
9.25,11.0,37,Male,English
,18.0,64,Male,English
,14.6,58,Male,English
,17.5,27,Female,Other
,11.8,49,Female,English
17.49,16.0,37,Male,English
20.11,14.0,39,Female,English
9.25,8.0,33,Female,Other
,19.3,47,Male,Other
,13.5,77,Female,English
16.16,17.5,32,Female,English
6.78,12.0,19,Female,English
,10.0,68,Female,English
,13.0,45,Female,English
10.0,10.0,48,Female,English
9.5,10.0,39,Male,English
,12.0,40,Male,English
,10.0,16,Male,English
,11.0,52,Male,English
,12.0,73,Female,English
,8.0,60,Female,Other
24.19,17.0,54,Male,Other
23.25,12.0,27,Male,English
,12.0,63,Female,French
24.96,17.0,32,Male,English
13.37,12.0,24,Male,English
,10.0,39,Female,Other
20.34,13.0,32,Male,French
7.85,13.5,25,Female,Other
17.41,13.3,35,Female,English
,13.0,51,Male,English
12.85,12.0,52,Female,Other
,11.0,22,Female,English
,11.0,16,Male,English
12.0,17.0,27,Female,English
17.0,12.0,30,Male,English
13.0,12.0,43,Female,Other
,7.0,71,Female,Other
,10.0,67,Male,Other
7.63,12.0,23,Female,French
,15.0,26,Male,English
10.87,12.5,34,Male,Other
22.75,14.4,28,Male,English
16.0,11.0,55,Male,English
8.5,13.0,50,Female,English
19.2,17.0,56,Male,Other
,2.0,81,Male,English
,0.0,72,Male,Other
24.48,17.1,37,Male,English
7.94,13.0,24,Male,English
10.0,13.1,18,Male,English
,12.1,20,Male,English
,14.5,21,Female,English
,11.0,34,Male,English
,8.0,68,Male,English
14.59,14.0,34,Male,English
17.9,16.0,27,Male,English
19.73,15.0,68,Male,Other
9.0,17.5,26,Male,English
,12.4,37,Male,English
,12.0,19,Female,English
,6.5,82,Female,English
11.44,17.0,22,Male,Other
37.88,19.0,36,Male,English
,8.0,83,Male,English
6.75,10.8,17,Male,English
9.5,12.9,22,Female,English
19.5,19.4,53,Female,English
11.64,11.0,33,Male,English
,14.0,69,Female,English
30.72,,45,Male,French
23.52,12.0,32,Male,English
,12.0,34,Female,English
9.6,12.0,45,Female,English
,10.0,67,Male,French
15.42,12.5,39,Male,English
,11.0,56,Female,English
20.64,18.5,37,Female,English
,9.0,71,Female,English
14.84,12.0,45,Female,English
12.53,12.0,26,Male,English
15.5,11.0,64,Male,English
10.45,13.0,31,Female,English
15.16,17.0,32,Male,French
8.57,15.0,37,Male,English
,20.0,77,Male,Other
10.0,12.0,50,Female,English
13.71,17.0,44,Female,Other
,9.0,61,Male,English
13.44,15.0,41,Male,English
9.5,12.4,44,Female,English
11.04,14.0,31,Male,English
,15.0,83,Female,Other
7.75,16.5,30,Female,English
,11.0,68,Female,English
10.0,10.6,45,Female,English
8.74,12.0,31,Male,French
25.64,19.1,35,Male,English
,12.0,84,Female,English
,9.0,46,Female,English
10.48,14.0,27,Male,English
,10.0,72,Male,English
9.86,15.5,22,Female,English
20.28,20.0,31,Female,French
10.0,13.5,45,Female,English
11.71,16.4,25,Male,English
,12.0,84,Female,English
,16.0,81,Male,French
6.55,12.5,25,Female,English
15.0,12.5,31,Female,English
,8.0,77,Female,English
,8.0,74,Female,Other
20.33,13.0,38,Male,English
26.65,17.0,47,Male,English
11.52,12.5,24,Female,English
,11.0,17,Female,English
,12.5,61,Female,French
7.5,12.5,34,Male,English
,12.0,72,Male,English
19.72,19.5,25,Male,French
12.05,10.0,40,Female,French
10.24,13.0,53,Female,English
11.6,12.0,49,Female,English
10.22,17.7,61,Female,English
19.23,20.0,54,Male,Other
,8.5,69,Male,
9.74,13.0,35,Female,English
11.51,12.0,19,Male,English
,14.5,25,Female,English
6.8,13.5,48,Female,English
22.27,17.6,40,Male,English
,12.0,56,Male,French
17.07,12.0,32,Male,Other
17.0,9.0,52,Male,English
,12.6,38,Female,English
,5.0,59,Female,Other
33.6,,49,Male,English
,11.0,60,Female,English
,10.0,60,Female,English
8.5,17.5,26,Male,English
12.0,12.0,47,Female,English
22.19,12.0,45,Male,English
,8.0,68,Female,Other
,11.5,66,Male,English
,12.5,68,Male,English
6.7,10.0,16,Female,English
7.5,14.0,29,Female,English
17.0,13.0,33,Female,English
10.12,12.0,32,Female,English
,2.0,88,Female,Other
14.5,13.0,37,Male,English
6.5,15.0,19,Female,English
,9.0,65,Male,English
40.96,17.0,54,Male,English
,10.0,68,Female,English
,13.0,61,Female,Other
,15.0,70,Female,English
,12.0,21,Female,English
,14.3,21,Male,English
6.7,12.8,19,Female,English
,9.0,62,Female,French
,12.0,31,Male,English
11.0,10.5,57,Male,English
23.04,18.7,34,Female,Other
,15.5,32,Female,English
,13.0,72,Female,English
7.69,13.0,21,Male,English
,12.2,30,Female,English
,4.0,75,Female,Other
10.88,13.8,25,Male,English
14.54,,40,Female,English
8.96,,37,Female,Other
,12.0,37,Male,English
6.7,14.0,20,Female,English
12.77,12.0,36,Female,English
,15.0,51,Male,English
7.0,12.0,18,Female,English
6.5,19.0,24,Female,Other
13.41,18.0,29,Male,English
,,74,Male,English
,14.5,31,Female,English
15.61,17.3,27,Male,English
14.26,10.0,58,Female,English
7.21,11.0,17,Male,English
14.11,10.5,31,Female,English
,8.0,76,Female,English
5.13,10.0,16,Female,English
10.0,14.0,59,Female,Other
6.7,8.0,53,Female,English
48.29,15.1,46,Male,English
28.53,17.0,36,Female,English
17.0,13.0,32,Male,English
,12.0,29,Female,English
,12.5,73,Female,English
,9.8,54,Male,English
6.65,15.5,20,Male,English
,17.0,68,Female,French
,13.5,26,Female,English
18.11,13.0,30,Female,English
19.12,14.0,46,Female,Other
,9.5,63,Female,French
,17.0,61,Male,English
13.58,12.8,40,Female,Other
6.75,13.0,51,Female,English
13.73,11.3,39,Female,English
,8.0,51,Female,Other
6.35,9.0,16,Male,French
,10.0,27,Male,Other
16.24,20.0,48,Male,Other
,10.0,66,Male,Other
,5.0,64,Female,English
9.0,14.6,23,Male,English
19.8,16.0,51,Female,Other
,14.0,50,Male,English
,8.0,74,Male,French
,13.0,55,Male,English
10.69,10.5,41,Male,English
13.68,12.5,31,Male,English
,11.0,82,Female,English
,8.0,72,Male,English
32.35,12.0,41,Male,English
,,73,Male,English
8.0,14.0,28,Female,English
,13.0,35,Female,English
24.96,20.0,37,Female,English
23.04,14.5,46,Male,Other
,9.0,67,Female,Other
,9.0,54,Male,English
,12.0,71,Female,English
