hrsrelax,mntlhlth,hrs1,degree,grass
6,0,40,GRADUATE,NOT LEGAL
6,0,40,GRADUATE,
4,4,9,GRADUATE,LEGAL
,,,BACHELOR,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
3,0,60,GRADUATE,
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,
5,30,40,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
3,0,38,BACHELOR,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
2,12,40,HIGH SCHOOL,LEGAL
1,2,40,BACHELOR,LEGAL
5,0,45,GRADUATE,
2,0,50,BACHELOR,
0,,56,JUNIOR COLLEGE,LEGAL
,,,BACHELOR,
2,20,50,GRADUATE,LEGAL
,,,JUNIOR COLLEGE,
,,,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,GRADUATE,LEGAL
4,15,30,GRADUATE,
,,,BACHELOR,
2,0,70,GRADUATE,LEGAL
3,1,50,GRADUATE,
4,0,40,HIGH SCHOOL,
,,9,BACHELOR,NOT LEGAL
2,10,40,HIGH SCHOOL,NOT LEGAL
4,0,40,HIGH SCHOOL,LEGAL
5,0,50,BACHELOR,LEGAL
,,,HIGH SCHOOL,
3,0,60,BACHELOR,NOT LEGAL
6,10,50,JUNIOR COLLEGE,LEGAL
1,7,52,JUNIOR COLLEGE,LEGAL
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,
6,0,38,GRADUATE,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
3,7,55,BACHELOR,
,,,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
3,3,50,JUNIOR COLLEGE,
1,0,60,HIGH SCHOOL,NOT LEGAL
3,1,20,HIGH SCHOOL,LEGAL
8,0,9,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
5,0,40,HIGH SCHOOL,
4,0,60,JUNIOR COLLEGE,LEGAL
5,0,50,BACHELOR,
4,0,52,HIGH SCHOOL,LEGAL
5,0,32,BACHELOR,LEGAL
5,4,40,BACHELOR,LEGAL
4,5,32,HIGH SCHOOL,NOT LEGAL
3,0,45,JUNIOR COLLEGE,
,,,GRADUATE,
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,LEGAL
3,0,50,BACHELOR,LEGAL
4,10,40,JUNIOR COLLEGE,LEGAL
1,1,40,HIGH SCHOOL,NOT LEGAL
6,0,30,HIGH SCHOOL,LEGAL
2,7,40,HIGH SCHOOL,
4,0,50,JUNIOR COLLEGE,LEGAL
,,,BACHELOR,
2,0,38,HIGH SCHOOL,
,,,BACHELOR,
3,5,40,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
3,0,55,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
3,0,40,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
1,2,9,JUNIOR COLLEGE,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
2,0,30,HIGH SCHOOL,
4,0,45,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
3,0,50,BACHELOR,NOT LEGAL
3,0,50,GRADUATE,LEGAL
,,,GRADUATE,
5,0,40,BACHELOR,
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,JUNIOR COLLEGE,LEGAL
,,,HIGH SCHOOL,
1,0,40,GRADUATE,LEGAL
2,0,40,BACHELOR,
16,4,20,BACHELOR,LEGAL
4,0,40,BACHELOR,LEGAL
,,,BACHELOR,NOT LEGAL
0,0,50,BACHELOR,NOT LEGAL
4,10,32,BACHELOR,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
0,0,30,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
2,0,40,HIGH SCHOOL,
2,1,50,BACHELOR,
,,,GRADUATE,NOT LEGAL
2,2,26,GRADUATE,
8,0,16,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
2,0,38,GRADUATE,NOT LEGAL
,,,GRADUATE,NOT LEGAL
,,,GRADUATE,LEGAL
3,0,32,HIGH SCHOOL,
16,3,40,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,GRADUATE,LEGAL
,,,GRADUATE,NOT LEGAL
,,,GRADUATE,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,LEGAL
,,,HIGH SCHOOL,LEGAL
1,1,40,LT HIGH SCHOOL,
4,0,16,HIGH SCHOOL,NOT LEGAL
1,0,40,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,
3,2,45,BACHELOR,
,,,HIGH SCHOOL,LEGAL
2,1,35,JUNIOR COLLEGE,LEGAL
5,0,40,BACHELOR,
3,0,35,JUNIOR COLLEGE,
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,LEGAL
10,7,8,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
8,0,16,HIGH SCHOOL,NOT LEGAL
1,4,55,GRADUATE,LEGAL
3,5,65,GRADUATE,
,,,HIGH SCHOOL,NOT LEGAL
16,4,38,JUNIOR COLLEGE,NOT LEGAL
2,3,32,GRADUATE,
4,25,40,BACHELOR,NOT LEGAL
,,,BACHELOR,NOT LEGAL
3,0,40,LT HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,
,,,LT HIGH SCHOOL,NOT LEGAL
5,3,12,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
2,0,55,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
1,30,56,HIGH SCHOOL,
,,,HIGH SCHOOL,
1,2,20,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
1,3,44,JUNIOR COLLEGE,
4,0,37,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
2,7,65,HIGH SCHOOL,
3,14,40,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
12,0,12,HIGH SCHOOL,NOT LEGAL
2,0,40,LT HIGH SCHOOL,NOT LEGAL
24,1,50,JUNIOR COLLEGE,NOT LEGAL
4,15,45,HIGH SCHOOL,LEGAL
4,0,40,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,JUNIOR COLLEGE,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
4,10,40,HIGH SCHOOL,
,,,HIGH SCHOOL,
4,0,40,LT HIGH SCHOOL,NOT LEGAL
8,30,30,HIGH SCHOOL,
0,14,42,LT HIGH SCHOOL,NOT LEGAL
0,0,48,HIGH SCHOOL,
,,,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
10,0,70,HIGH SCHOOL,LEGAL
2,15,24,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
5,1,40,BACHELOR,LEGAL
4,0,50,BACHELOR,LEGAL
4,30,38,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
5,0,32,GRADUATE,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,LEGAL
4,1,55,GRADUATE,
5,1,40,GRADUATE,
,,,HIGH SCHOOL,LEGAL
8,30,40,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
0,5,52,HIGH SCHOOL,
2,0,42,HIGH SCHOOL,LEGAL
3,4,40,HIGH SCHOOL,NOT LEGAL
2,1,40,HIGH SCHOOL,LEGAL
8,0,40,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
0,0,40,HIGH SCHOOL,LEGAL
2,0,40,HIGH SCHOOL,LEGAL
,,,BACHELOR,
,,,HIGH SCHOOL,
3,0,40,HIGH SCHOOL,
,,,BACHELOR,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,
3,0,60,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,
6,3,45,BACHELOR,NOT LEGAL
5,2,9,GRADUATE,LEGAL
20,0,20,GRADUATE,
9,15,45,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
5,,20,HIGH SCHOOL,NOT LEGAL
10,6,10,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
3,10,50,GRADUATE,LEGAL
2,4,40,HIGH SCHOOL,
8,0,20,HIGH SCHOOL,NOT LEGAL
2,5,60,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
1,,42,HIGH SCHOOL,
2,4,24,HIGH SCHOOL,NOT LEGAL
3,2,22,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
4,10,32,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
5,0,35,BACHELOR,LEGAL
5,0,60,LT HIGH SCHOOL,LEGAL
,,,BACHELOR,
6,0,40,HIGH SCHOOL,LEGAL
,,,BACHELOR,
,,,HIGH SCHOOL,LEGAL
1,0,60,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
4,2,40,GRADUATE,
,,,GRADUATE,NOT LEGAL
2,0,40,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
4,0,40,BACHELOR,LEGAL
,,,HIGH SCHOOL,
,,,JUNIOR COLLEGE,NOT LEGAL
2,0,60,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,JUNIOR COLLEGE,LEGAL
1,10,35,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,
4,1,45,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,
2,0,52,HIGH SCHOOL,LEGAL
5,1,40,HIGH SCHOOL,
12,0,25,GRADUATE,NOT LEGAL
3,25,48,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
4,3,40,GRADUATE,
,,,HIGH SCHOOL,NOT LEGAL
6,0,40,LT HIGH SCHOOL,NOT LEGAL
2,0,40,GRADUATE,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
2,0,45,GRADUATE,LEGAL
3,2,45,BACHELOR,NOT LEGAL
,,,GRADUATE,LEGAL
0,0,52,GRADUATE,LEGAL
,,,GRADUATE,NOT LEGAL
,,,GRADUATE,
3,30,28,HIGH SCHOOL,
,,,GRADUATE,
,,,JUNIOR COLLEGE,LEGAL
5,0,30,JUNIOR COLLEGE,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
1,5,50,GRADUATE,NOT LEGAL
5,4,13,HIGH SCHOOL,
2,0,46,LT HIGH SCHOOL,LEGAL
6,1,47,HIGH SCHOOL,LEGAL
6,0,50,JUNIOR COLLEGE,
1,30,12,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
3,0,24,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
3,0,45,JUNIOR COLLEGE,
,,,BACHELOR,NOT LEGAL
6,0,60,BACHELOR,NOT LEGAL
3,0,30,GRADUATE,
4,0,50,GRADUATE,NOT LEGAL
3,0,50,HIGH SCHOOL,
5,1,37,GRADUATE,NOT LEGAL
5,0,50,HIGH SCHOOL,
2,10,60,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
1,0,50,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,JUNIOR COLLEGE,
3,0,35,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,
4,0,40,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,
3,0,50,GRADUATE,LEGAL
2,5,50,GRADUATE,
,,,HIGH SCHOOL,LEGAL
10,,32,HIGH SCHOOL,NOT LEGAL
5,7,40,LT HIGH SCHOOL,NOT LEGAL
6,15,15,HIGH SCHOOL,
4,2,40,HIGH SCHOOL,
0,0,9,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,
,,,JUNIOR COLLEGE,NOT LEGAL
4,4,9,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,BACHELOR,NOT LEGAL
3,0,45,GRADUATE,LEGAL
5,0,60,GRADUATE,
5,0,31,HIGH SCHOOL,LEGAL
2,0,12,GRADUATE,NOT LEGAL
,,,BACHELOR,
5,0,48,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,GRADUATE,
2,0,45,BACHELOR,
4,0,45,HIGH SCHOOL,LEGAL
5,0,40,JUNIOR COLLEGE,NOT LEGAL
2,0,70,GRADUATE,
0,30,60,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
1,0,40,BACHELOR,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2,0,40,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
2,20,40,BACHELOR,
5,5,40,GRADUATE,NOT LEGAL
2,0,5,BACHELOR,
,,,HIGH SCHOOL,
2,0,60,BACHELOR,NOT LEGAL
2,0,40,BACHELOR,
,,,HIGH SCHOOL,
1,2,40,BACHELOR,
,,,HIGH SCHOOL,LEGAL
7,3,40,HIGH SCHOOL,LEGAL
3,0,40,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,NOT LEGAL
5,0,55,GRADUATE,NOT LEGAL
,,,GRADUATE,
2,2,45,GRADUATE,LEGAL
2,10,40,BACHELOR,
5,0,20,BACHELOR,
5,0,25,HIGH SCHOOL,LEGAL
2,0,40,BACHELOR,
,,,BACHELOR,
,,,GRADUATE,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2,0,40,BACHELOR,
7,2,27,HIGH SCHOOL,NOT LEGAL
1,5,60,BACHELOR,LEGAL
3,2,50,BACHELOR,NOT LEGAL
2,5,52,HIGH SCHOOL,
3,10,41,LT HIGH SCHOOL,NOT LEGAL
3,0,48,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
1,0,40,BACHELOR,
,,,HIGH SCHOOL,LEGAL
3,0,40,JUNIOR COLLEGE,
,,,BACHELOR,LEGAL
4,0,40,BACHELOR,
,,,LT HIGH SCHOOL,LEGAL
8,0,40,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
1,0,9,HIGH SCHOOL,
,,,HIGH SCHOOL,
8,0,41,HIGH SCHOOL,LEGAL
7,2,40,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,JUNIOR COLLEGE,LEGAL
,,,LT HIGH SCHOOL,
10,0,37,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
6,8,20,HIGH SCHOOL,
4,0,40,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
3,0,70,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
5,15,30,LT HIGH SCHOOL,
0,0,50,HIGH SCHOOL,NOT LEGAL
2,0,40,HIGH SCHOOL,
0,15,50,HIGH SCHOOL,NOT LEGAL
3,2,20,HIGH SCHOOL,
4,15,51,HIGH SCHOOL,LEGAL
4,4,40,GRADUATE,NOT LEGAL
4,2,65,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
8,0,37,BACHELOR,LEGAL
2,0,75,HIGH SCHOOL,NOT LEGAL
1,0,38,GRADUATE,LEGAL
4,0,34,LT HIGH SCHOOL,
4,5,40,HIGH SCHOOL,NOT LEGAL
3,15,68,BACHELOR,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
8,1,40,HIGH SCHOOL,LEGAL
,,,JUNIOR COLLEGE,LEGAL
3,0,40,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
6,2,50,HIGH SCHOOL,
8,0,40,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
1,0,52,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
3,0,40,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,0,40,JUNIOR COLLEGE,LEGAL
,,,JUNIOR COLLEGE,NOT LEGAL
4,0,40,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,
4,0,39,JUNIOR COLLEGE,LEGAL
4,4,42,JUNIOR COLLEGE,
6,0,40,BACHELOR,LEGAL
0,0,19,LT HIGH SCHOOL,LEGAL
3,5,59,JUNIOR COLLEGE,
5,30,48,HIGH SCHOOL,NOT LEGAL
2,5,40,GRADUATE,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,JUNIOR COLLEGE,
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
6,0,40,JUNIOR COLLEGE,LEGAL
1,15,45,HIGH SCHOOL,LEGAL
2,5,40,GRADUATE,LEGAL
2,3,50,BACHELOR,
,,,JUNIOR COLLEGE,NOT LEGAL
,,,GRADUATE,LEGAL
4,0,40,BACHELOR,
2,0,60,BACHELOR,NOT LEGAL
4,0,60,GRADUATE,NOT LEGAL
4,0,50,GRADUATE,
5,0,25,HIGH SCHOOL,LEGAL
8,0,55,HIGH SCHOOL,LEGAL
4,5,40,BACHELOR,LEGAL
1,30,45,BACHELOR,
6,4,9,JUNIOR COLLEGE,LEGAL
,,,HIGH SCHOOL,LEGAL
1,0,50,BACHELOR,
,,,LT HIGH SCHOOL,LEGAL
8,0,28,HIGH SCHOOL,LEGAL
,,,BACHELOR,
,,,LT HIGH SCHOOL,LEGAL
,,,JUNIOR COLLEGE,
5,0,20,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
4,0,30,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
5,3,37,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
7,0,20,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
2,4,30,HIGH SCHOOL,
,,,HIGH SCHOOL,
4,0,20,JUNIOR COLLEGE,
2,30,30,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
4,0,40,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,BACHELOR,LEGAL
,,,HIGH SCHOOL,LEGAL
3,2,50,BACHELOR,
8,25,16,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
3,1,30,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,
2,0,62,JUNIOR COLLEGE,LEGAL
,,,LT HIGH SCHOOL,
8,0,40,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
0,0,40,GRADUATE,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
9,0,45,HIGH SCHOOL,LEGAL
4,30,40,LT HIGH SCHOOL,
3,30,40,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,LEGAL
4,0,38,BACHELOR,NOT LEGAL
,,,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
4,5,40,BACHELOR,
,,,GRADUATE,NOT LEGAL
,,9,BACHELOR,NOT LEGAL
2,4,50,BACHELOR,LEGAL
,,,BACHELOR,
4,0,20,GRADUATE,NOT LEGAL
6,0,40,BACHELOR,LEGAL
2,2,45,GRADUATE,NOT LEGAL
4,25,10,GRADUATE,LEGAL
,,,GRADUATE,NOT LEGAL
2,1,60,GRADUATE,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2,0,37,JUNIOR COLLEGE,
2,5,52,JUNIOR COLLEGE,
2,0,37,BACHELOR,LEGAL
,,,LT HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
1,0,50,BACHELOR,LEGAL
1,1,50,BACHELOR,LEGAL
8,0,40,HIGH SCHOOL,
3,3,27,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
2,4,60,BACHELOR,NOT LEGAL
3,2,70,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
5,0,40,BACHELOR,LEGAL
4,10,50,GRADUATE,
4,0,45,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
6,0,35,HIGH SCHOOL,LEGAL
,,,GRADUATE,LEGAL
4,30,40,HIGH SCHOOL,LEGAL
2,3,37,BACHELOR,LEGAL
3,0,55,GRADUATE,
5,0,50,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,
4,4,52,BACHELOR,LEGAL
,,,HIGH SCHOOL,LEGAL
3,0,16,BACHELOR,
,,,HIGH SCHOOL,
,,,BACHELOR,NOT LEGAL
,,,BACHELOR,
,,,BACHELOR,NOT LEGAL
3,0,52,BACHELOR,LEGAL
,,50,HIGH SCHOOL,
2,5,60,BACHELOR,NOT LEGAL
2,10,60,HIGH SCHOOL,
4,12,40,BACHELOR,NOT LEGAL
20,0,35,BACHELOR,NOT LEGAL
4,0,8,GRADUATE,
5,0,40,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,
3,0,60,HIGH SCHOOL,LEGAL
5,0,60,BACHELOR,LEGAL
2,5,50,BACHELOR,
,,,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
3,0,50,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
2,0,65,BACHELOR,NOT LEGAL
2,5,50,GRADUATE,
1,1,60,JUNIOR COLLEGE,NOT LEGAL
,,,GRADUATE,LEGAL
4,2,40,JUNIOR COLLEGE,NOT LEGAL
,,,BACHELOR,NOT LEGAL
6,0,43,BACHELOR,LEGAL
,,,GRADUATE,NOT LEGAL
5,0,1,JUNIOR COLLEGE,
3,1,45,BACHELOR,NOT LEGAL
10,7,20,HIGH SCHOOL,
6,0,36,BACHELOR,NOT LEGAL
3,0,40,GRADUATE,
6,0,42,JUNIOR COLLEGE,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
4,10,40,BACHELOR,NOT LEGAL
,,,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
5,0,35,HIGH SCHOOL,
,,,HIGH SCHOOL,
7,10,42,HIGH SCHOOL,NOT LEGAL
0,0,70,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
4,0,50,HIGH SCHOOL,LEGAL
3,1,40,GRADUATE,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2,5,40,GRADUATE,
,,,HIGH SCHOOL,
2,0,35,HIGH SCHOOL,LEGAL
,,,BACHELOR,LEGAL
3,3,16,HIGH SCHOOL,
4,0,20,GRADUATE,NOT LEGAL
,,,JUNIOR COLLEGE,NOT LEGAL
1,14,36,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
1,20,40,HIGH SCHOOL,LEGAL
5,0,26,LT HIGH SCHOOL,
5,5,40,BACHELOR,NOT LEGAL
0,3,27,LT HIGH SCHOOL,
2,20,30,JUNIOR COLLEGE,NOT LEGAL
,,,HIGH SCHOOL,
,,,JUNIOR COLLEGE,LEGAL
1,0,56,JUNIOR COLLEGE,
,,,LT HIGH SCHOOL,LEGAL
3,0,30,LT HIGH SCHOOL,
4,0,48,LT HIGH SCHOOL,LEGAL
3,0,38,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
16,0,40,HIGH SCHOOL,
0,15,80,JUNIOR COLLEGE,NOT LEGAL
2,2,50,LT HIGH SCHOOL,NOT LEGAL
1,30,50,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
3,2,35,BACHELOR,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
12,0,42,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
9,3,28,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
8,7,40,HIGH SCHOOL,
4,2,40,BACHELOR,
4,7,42,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
3,0,50,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
6,0,22,HIGH SCHOOL,LEGAL
,,,BACHELOR,
6,25,40,HIGH SCHOOL,
2,0,9,BACHELOR,LEGAL
0,0,40,HIGH SCHOOL,
1,3,38,BACHELOR,
2,7,50,LT HIGH SCHOOL,NOT LEGAL
4,30,25,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
0,0,32,LT HIGH SCHOOL,LEGAL
0,0,60,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
3,0,40,GRADUATE,
,,,JUNIOR COLLEGE,NOT LEGAL
0,0,7,JUNIOR COLLEGE,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
6,4,25,HIGH SCHOOL,
3,0,45,HIGH SCHOOL,LEGAL
1,2,45,HIGH SCHOOL,LEGAL
2,0,65,GRADUATE,
6,0,40,HIGH SCHOOL,
3,0,40,LT HIGH SCHOOL,NOT LEGAL
5,0,45,HIGH SCHOOL,
4,0,40,JUNIOR COLLEGE,LEGAL
6,0,40,HIGH SCHOOL,NOT LEGAL
3,0,43,HIGH SCHOOL,
2,0,52,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
6,0,30,LT HIGH SCHOOL,
,0,40,HIGH SCHOOL,LEGAL
3,0,28,HIGH SCHOOL,
1,3,40,HIGH SCHOOL,
4,0,44,HIGH SCHOOL,LEGAL
1,14,74,HIGH SCHOOL,
1,10,50,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
