nuclide,z,n,element,radius,radius_uncert,abundance,abundance_uncert,is_stable,half_life,half_life_uncert,isospin,decay_1,decay_1_pct,decay_1_pct_uncert,decay_2,decay_2_pct,decay_2_pct_uncert,decay_3,decay_3_pct,decay_3_pct_uncert,magnetic_dipole,magnetic_dipole_uncert,electric_quadrupole,electric_quadrupole_uncert,atomic_mass,atomic_mass_uncert,mass_excess,mass_excess_uncert
^{72}_{32}Ge40,32,40,Ge,4.0576,0.0013,0.27449999999999997,0.0015,true,,,,,,,,,,,,,1.0,0.3,,,71922075.824,0.081,-72585.91,0.076
^{73}_{32}Ge41,32,41,Ge,4.0632,0.0014,0.0776,0.0008,true,,,,,,,,,,,,,,,-0.196,0.001,72923458.954,0.061,-71297.532,0.057
^{74}_{32}Ge42,32,42,Ge,4.0742,0.0012,0.3652,0.0012,true,,,,,,,,,,,,,0.75,0.15,-0.19,0.02,73921177.76,0.013,-73422.451,0.013
^{75}_{32}Ge43,32,43,Ge,,,,,false,4966.8,2.4,,B-,1.0,,,,,,,,0.509,0.005,,,74922858.37,0.055,-71856.973,0.052
^{76}_{32}Ge44,32,44,Ge,4.0811,0.0012,0.0775,0.0012,true,,,,,,,,,,,,,0.64,0.1,-0.19,0.06,75921402.725,0.019,-73212.898,0.018
^{77}_{32}Ge45,32,45,Ge,,,,,false,40359.6,10.8,,B-,1.0,,,,,,,,,,,,76923549.843,0.056,-71212.87,0.053
^{78}_{32}Ge46,32,46,Ge,,,,,false,5280.0,60.0,,B-,1.0,,,,,,,,,,,,77922852.911,3.795,-71862.058,3.536
^{79}_{32}Ge47,32,47,Ge,,,,,false,18.98,0.03,,B-,1.0,,,,,,,,,,,,78925359.506,39.893,-69527.18,37.161
^{80}_{32}Ge48,32,48,Ge,,,,,false,29.5,0.4,,B-,1.0,,,,,,,,,,,,79925350.773,2.205,-69535.314,2.054
^{81}_{32}Ge49,32,49,Ge,,,,,false,7.6,0.6,,B-,1.0,,,,,,,,,,,,80928832.941,2.205,-66291.695,2.055
^{82}_{32}Ge50,32,50,Ge,,,,,false,4.0,0.7,,B-,1.0,,,,,,,,,,,,81929774.031,2.405,-65415.075,2.24
^{83}_{32}Ge51,32,51,Ge,,,,,false,1.85,0.06,,B-,1.0,,B-N,,,,,,,,,,82934539.1,2.604,-60976.442,2.427
^{84}_{32}Ge52,32,52,Ge,,,,,false,0.954,0.014,,B-,1.0,,B-N,0.102,0.009000000000000001,,,,,,,,83937575.09,3.403,-58148.435,3.171
^{85}_{32}Ge53,32,53,Ge,,,,,false,0.503,0.018,,B-,1.0,,B-N,0.165,0.023,B-2N,,,,,,,84942969.658,4.003,-53123.427,3.729
^{86}_{32}Ge54,32,54,Ge,,,,,false,0.226,0.021,,B-,1.0,,B-N,0.45,0.15,,,,,,,,85946967.0,470.0,-49399.927,437.802
^{87}_{32}Ge55,32,55,Ge,,,,,false,0.14,,,B-,1.0,,B-N,,,,,,,,,,86953204.0,322.0,-43590.0,300.0
^{88}_{32}Ge56,32,56,Ge,,,,,false,3e-7,,,B-,,,B-N,,,,,,,,,,87957574.0,429.0,-39520.0,400.0
^{89}_{32}Ge57,32,57,Ge,,,,,false,,,,B-,1.0,,B-N,,,B-2N,,,,,,,88964530.0,429.0,-33040.0,400.0
^{90}_{32}Ge58,32,58,Ge,,,,,false,,,,B-,1.0,,B-2N,,,B-N,,,,,,,89969436.0,537.0,-28470.0,500.0
^{63}_{33}As30,33,30,As,,,,,false,4.3e-8,,,P,,,,,,,,,,,,,62964036.0,215.0,-33500.0,200.0
^{64}_{33}As31,33,31,As,,,,,false,0.069,0.0014,,EC+B+,1.0,,ECP,,,,,,,,,,63957560.0,218.0,-39532.0,203.0
^{65}_{33}As32,33,32,As,,,,,false,0.128,0.016,,EC+B+,1.0,,,,,,,,,,,,64949611.0,91.0,-46937.056,84.766
^{66}_{33}As33,33,33,As,,,,,false,0.09577,0.00023,,EC+B+,1.0,,,,,,,,,,,,65944148.778,6.1,-52025.084,5.682
^{67}_{33}As34,33,34,As,,,,,false,42.5,1.2,,EC+B+,1.0,,,,,,,,,,,,66939251.11,0.475,-56587.232,0.443
^{68}_{33}As35,33,35,As,,,,,false,151.6,0.8,,EC+B+,1.0,,,,,,,,,,,,67936774.127,1.981,-58894.527,1.846
^{69}_{33}As36,33,36,As,,,,,false,912.0,12.0,,EC+B+,1.0,,,,,,,,1.622,0.002,,,68932246.289,34.352,-63112.181,31.999
^{70}_{33}As37,33,37,As,,,,,false,3156.0,18.0,,EC+B+,1.0,,,,,,,,2.1104,0.0005,0.09,0.02,69930934.642,1.5,-64333.973,1.397
^{71}_{33}As38,33,38,As,,,,,false,235080.0,252.0,,EC+B+,1.0,,,,,,,,1.673,0.002,-0.021,0.006,70927113.594,4.469,-67893.257,4.163
^{72}_{33}As39,33,39,As,,,,,false,93600.0,360.0,,EC+B+,1.0,,,,,,,,-2.161,0.0006,-0.08,0.02,71926752.291,4.383,-68229.808,4.083
^{73}_{33}As40,33,40,As,,,,,false,6937920.0,5184.0,,EC,1.0,,,,,,,,5.234,0.014,0.353,0.012,72923829.086,4.136,-70952.757,3.853
^{74}_{33}As41,33,41,As,,,,,false,1535328.0,1728.0,,EC+B+,0.66,0.02,B-,0.34,0.02,,,,-1.596,0.003,,,73923928.596,1.817,-70860.064,1.693
^{75}_{33}As42,33,42,As,4.0968,0.002,1.0,,true,,,,,,,,,,,,,1.4383,0.0003,0.311,0.002,74921594.562,0.948,-73034.203,0.884
^{76}_{33}As43,33,43,As,,,,,false,94464.0,324.0,,B-,1.0,,,,,,,,-0.9023,0.001,,,75922392.011,0.951,-72291.384,0.886
^{77}_{33}As44,33,44,As,,,,,false,139644.0,180.0,,B-,1.0,,,,,,,,1.294,0.0013,,,76920647.555,1.816,-73916.334,1.692
^{78}_{33}As45,33,45,As,,,,,false,5442.0,12.0,,B-,1.0,,,,,,,,,,,,77921827.771,10.498,-72816.97,9.779
^{79}_{33}As46,33,46,As,,,,,false,540.6,9.0,,B-,1.0,,,,,,,,,,,,78920948.419,5.716,-73636.081,5.325
^{80}_{33}As47,33,47,As,,,,,false,15.2,0.2,,B-,1.0,,,,,,,,,,,,79922474.44,3.578,-72214.601,3.333
^{81}_{33}As48,33,48,As,,,,,false,33.3,0.8,,B-,1.0,,,,,,,,,,,,80922132.288,2.838,-72533.314,2.644
^{82}_{33}As49,33,49,As,,,,,false,19.1,0.5,,B-,1.0,,,,,,,,,,,,81924738.731,4.003,-70105.427,3.729
^{83}_{33}As50,33,50,As,,,,,false,13.4,0.4,,B-,1.0,,,,,,,,,,,,82925206.9,3.004,-69669.331,2.799
^{84}_{33}As51,33,51,As,,,,,false,4.2,0.5,,B-,1.0,,B-N,0.0018,0.001,,,,,,,,83929303.29,3.403,-65853.568,3.171
^{85}_{33}As52,33,52,As,,,,,false,2.021,0.012,,B-,1.0,,B-N,0.629,0.02,,,,,,,,84932163.658,3.304,-63189.152,3.078
^{86}_{33}As53,33,53,As,,,,,false,0.945,0.008,,B-,1.0,,B-N,0.355,0.006,B-2N,,,,,,,85936701.532,3.703,-58962.15,3.45
^{87}_{33}As54,33,54,As,,,,,false,0.484,0.04,,B-,1.0,,B-N,0.154,0.022000000000000002,,,,,,,,86940291.716,3.204,-55617.914,2.985
^{88}_{33}As55,33,55,As,,,,,false,0.2,0.145,,B-,1.0,,B-N,,,,,,,,,,87945840.0,215.0,-50450.0,200.0
^{89}_{33}As56,33,56,As,,,,,false,,,,B-,1.0,,B-N,,,B-2N,,,,,,,88950048.0,322.0,-46530.0,300.0
^{90}_{33}As57,33,57,As,,,,,false,,,,B-,1.0,,B-N,,,,,,,,,,89955995.0,429.0,-40990.0,400.0
^{91}_{33}As58,33,58,As,,,,,false,,,,B-,1.0,,B-N,,,,,,,,,,90960816.0,429.0,-36500.0,400.0
^{92}_{33}As59,33,59,As,,,,,false,,,,B-,1.0,,,,,,,,,,,,91967386.0,537.0,-30380.0,500.0
^{63}_{34}Se29,34,29,Se,,,,,false,0.0132,0.0039,,EC+B+,1.0,,ECP,0.89,0.11,2P,0.005,,,,,,62981911.0,537.0,-16850.0,500.0
^{64}_{34}Se30,34,30,Se,,,,,false,,,,EC+B+,1.0,,ECP,,,,,,,,,,63971165.0,537.0,-26860.0,500.0
^{65}_{34}Se31,34,31,Se,,,,,false,0.033,0.004,,EC+B+,1.0,,ECP,1.0,,,,,,,,,64964552.0,322.0,-33020.0,300.0
^{66}_{34}Se32,34,32,Se,,,,,false,0.042,0.012,,EC,1.0,,,,,,,,,,,,65955276.0,215.0,-41660.0,200.0
^{67}_{34}Se33,34,33,Se,,,,,false,0.133,0.004,,EC+B+,1.0,,ECP,0.005,0.001,,,,,,,,66949994.0,72.0,-46580.294,67.068
^{68}_{34}Se34,34,34,Se,,,,,false,35.5,0.7,,EC+B+,1.0,,,,,,,,,,,,67941825.236,0.532,-54189.449,0.496
^{69}_{34}Se35,34,35,Se,,,,,false,27.4,0.2,,EC+B+,1.0,,ECP,0.00052,0.00008,,,,,,,,68939414.845,1.599,-56434.714,1.49
^{70}_{34}Se36,34,36,Se,,,,,false,2466.0,18.0,,EC+B+,1.0,,,,,,,,,,-0.6,0.3,69933515.521,1.7,-61929.9,1.584
^{71}_{34}Se37,34,37,Se,,,,,false,284.4,3.0,,EC+B+,1.0,,,,,,,,,,,,70932209.431,3.0,-63146.515,2.794
^{72}_{34}Se38,34,38,Se,,,,,false,725760.0,6912.0,,EC,1.0,,,,,,,,,,,,71927140.506,2.1,-67868.189,1.956
^{73}_{34}Se39,34,39,Se,,,,,false,25740.0,324.0,,EC+B+,1.0,,,,,,,,0.892,0.013,,,72926754.881,7.969,-68227.396,7.424
^{74}_{34}Se40,34,40,Se,4.07,0.02,0.0086,0.0003,true,,,,,,,,,,,,,1.7,0.3,-0.36,0.07,73922475.933,0.015,-72213.21,0.015
^{75}_{34}Se41,34,41,Se,,,,,false,10348992.0,4320.0,,EC,1.0,,,,,,,,0.683,0.01,1.1,0.2,74922522.87,0.078,-72169.489,0.073
^{76}_{34}Se42,34,42,Se,4.1395,0.0016,0.09230000000000001,0.0007000000000000001,true,,,,,,,,,,,,,0.61,0.11,,,75919213.702,0.017,-75251.959,0.016
^{77}_{34}Se43,34,43,Se,4.1395,0.0018,0.076,0.0007000000000000001,true,,,,,,,,,,,,,0.53356,0.00005,0.76,0.05,76919914.15,0.067,-74599.497,0.062
^{78}_{34}Se44,34,44,Se,4.1406,0.0017,0.2369,0.0022,true,,,,,,,,,,,,,0.6,0.2,-0.26,0.09,77917309.244,0.191,-77025.952,0.179
^{79}_{34}Se45,34,45,Se,,,,,false,10319114793691.6,883593927288.576,,B-,1.0,,,,,,,,-1.018,0.015,0.8,0.2,78918499.252,0.238,-75917.466,0.223
^{80}_{34}Se46,34,46,Se,4.14,0.0018,0.498,0.0036,true,,,,2B-,,,,,,,,,2.3,0.9,,,79916521.761,1.016,-77759.487,0.947
^{81}_{34}Se47,34,47,Se,,,,,false,1107.0,7.2,,B-,1.0,,,,,,,,,,,,80917993.019,1.049,-76389.019,0.977
^{82}_{34}Se48,34,48,Se,4.14,0.0019,0.0882,0.0015,false,3.02946489356083e27,3.1556925974592e26,,2B-,1.0,,,,,,,,,,,,81916699.531,0.5,-77593.895,0.466
^{83}_{34}Se49,34,49,Se,,,,,false,1338.0,12.0,,B-,1.0,,,,,,,,,,,,82919118.604,3.259,-75340.543,3.036
^{84}_{34}Se50,34,50,Se,,,,,false,195.6,6.0,,B-,1.0,,,,,,,,,,,,83918466.761,2.105,-75947.731,1.961
^{85}_{34}Se51,34,51,Se,,,,,false,32.9,0.3,,B-,1.0,,,,,,,,,,,,84922260.758,2.804,-72413.645,2.613
^{86}_{34}Se52,34,52,Se,,,,,false,14.3,0.3,,B-,1.0,,,,,,,,,,,,85924311.732,2.705,-70503.175,2.52
^{87}_{34}Se53,34,53,Se,,,,,false,5.5,0.14,,B-,1.0,,B-N,0.0036,0.0008,,,,,,,,86928688.616,2.405,-66426.133,2.241
^{88}_{34}Se54,34,54,Se,,,,,false,1.53,0.06,,B-,1.0,,B-N,0.009899999999999999,0.001,,,,,,,,87931417.49,3.604,-63884.203,3.357
^{89}_{34}Se55,34,55,Se,,,,,false,0.43,0.05,,B-,1.0,,B-N,0.078,0.025,,,,,,,,88936669.058,4.003,-58992.398,3.729
^{90}_{34}Se56,34,56,Se,,,,,false,0.195,0.08,,B-,1.0,,B-N,,,,,,,,,,89940096.0,354.0,-55800.223,329.749
^{91}_{34}Se57,34,57,Se,,,,,false,0.27,0.05,,B-,1.0,,B-N,0.21,0.1,,,,,,,,90945700.0,465.0,-50580.13,433.145
^{92}_{34}Se58,34,58,Se,,,,,false,,,,B-,1.0,,,,,,,,,,,,91949840.0,429.0,-46724.0,400.0
^{93}_{34}Se59,34,59,Se,,,,,false,,,,B-,1.0,,,,,,,,,,,,92956135.0,429.0,-40860.0,400.0
^{94}_{34}Se60,34,60,Se,,,,,false,1.5e-7,,,B-,1.0,,,,,,,,,,,,93960490.0,537.0,-36803.0,500.0
^{95}_{34}Se61,34,61,Se,,,,,false,3.92e-7,,,B-,,,B-N,,,B-2N,,,,,,,94967300.0,537.0,-30460.0,500.0
^{67}_{35}Br32,35,32,Br,,,,,false,,,,P,,,,,,,,,,,,,66965078.0,322.0,-32530.0,300.0
^{68}_{35}Br33,35,33,Br,,,,,false,3.5e-8,5e-9,,,,,,,,,,,,,,,67958356.0,278.0,-38791.0,259.0
^{69}_{35}Br34,35,34,Br,,,,,false,2.4e-8,,,P,1.0,,,,,,,,,,,,68950338.41,45.091,-46259.478,42.003
^{70}_{35}Br35,35,35,Br,,,,,false,0.0791,0.0008,,EC+B+,1.0,,,,,,,,,,,,69944792.321,16.0,-51425.627,14.904
^{71}_{35}Br36,35,36,Br,,,,,false,21.4,0.6,,EC+B+,1.0,,,,,,,,,,,,70939342.153,5.799,-56502.426,5.402
^{72}_{35}Br37,35,37,Br,,,,,false,78.6,2.4,,EC+B+,1.0,,,,,,,,0.6,0.1,,,71936594.606,1.1,-59061.75,1.025
^{73}_{35}Br38,35,38,Br,,,,,false,204.0,12.0,,EC+B+,1.0,,,,,,,,,,,,72931673.441,7.237,-63645.787,6.741
^{74}_{35}Br39,35,39,Br,,,,,false,1524.0,18.0,,EC+B+,1.0,,,,,,,,1.82,0.012,,,73929910.279,6.264,-65288.161,5.835
^{75}_{35}Br40,35,40,Br,,,,,false,5802.0,78.0,,EC+B+,1.0,,,,,,,,0.76,0.18,,,74925810.566,4.6,-69107.02,4.285
^{76}_{35}Br41,35,41,Br,,,,,false,58320.0,720.0,,EC+B+,1.0,,,,,,,,0.5477,0.0001,0.251,0.004,75924541.574,10.007,-70289.078,9.322
^{77}_{35}Br42,35,42,Br,,,,,false,205344.0,432.0,,EC+B+,1.0,,,,,,,,0.9731,0.0006,0.5,0.02,76921379.193,3.017,-73234.818,2.811
^{78}_{35}Br43,35,43,Br,,,,,false,387.0,2.4,,EC+B+,0.9998999999999999,,B-,0.0001,,,,,0.13,0.03,,,77921145.858,3.842,-73452.168,3.58
^{79}_{35}Br44,35,44,Br,4.1629,0.0021,0.5065,0.0009,true,,,,,,,,,,,,,2.1046,0.0006,0.3087,0.0002,78918337.574,1.074,-76068.067,1.001
^{80}_{35}Br45,35,45,Br,,,,,false,1060.8,1.2,,B-,0.917,0.002,EC+B+,0.083,0.002,,,,0.5135,0.0006,0.182,0.003,79918529.784,1.065,-75889.025,0.993
^{81}_{35}Br46,35,46,Br,4.1599,0.0021,0.4935,0.0009,true,,,,,,,,,,,,,2.2686,0.0006,0.2579,0.0002,80916288.197,1.049,-77977.051,0.978
^{82}_{35}Br47,35,47,Br,,,,,false,127015.2,25.2,,B-,1.0,,,,,,,,1.6256,0.0006,0.697,0.01,81916801.752,1.042,-77498.677,0.971
^{83}_{35}Br48,35,48,Br,,,,,false,8546.4,14.4,,B-,1.0,,,,,,,,,,,,82915175.285,4.073,-79013.721,3.795
^{84}_{35}Br49,35,49,Br,,,,,false,1905.6,4.8,,B-,1.0,,,,,,,,1.9,0.7,,,83916496.417,27.622,-77783.094,25.73
^{85}_{35}Br50,35,50,Br,,,,,false,174.0,3.6,,B-,1.0,,,,,,,,,,,,84915645.758,3.304,-78575.478,3.078
^{86}_{35}Br51,35,51,Br,,,,,false,55.1,0.4,,B-,1.0,,,,,,,,,,,,85918805.432,3.304,-75632.261,3.078
^{87}_{35}Br52,35,52,Br,,,,,false,55.68,0.12,,B-,1.0,,B-N,0.026000000000000002,0.0004,,,,,,,,86920674.016,3.404,-73891.685,3.171
^{88}_{35}Br53,35,53,Br,,,,,false,16.34,0.08,,B-,1.0,,B-N,0.0658,0.0018,,,,,,,,87924083.29,3.404,-70715.967,3.171
^{89}_{35}Br54,35,54,Br,,,,,false,4.357,0.022,,B-,1.0,,B-N,0.13699999999999998,0.006,,,,,,,,88926704.558,3.504,-68274.271,3.264
^{90}_{35}Br55,35,55,Br,,,,,false,1.91,0.01,,B-,1.0,,B-N,0.253,0.015,,,,,,,,89931292.848,3.604,-64000.306,3.357
^{91}_{35}Br56,35,56,Br,,,,,false,0.543,0.004,,B-,1.0,,B-N,0.195,0.026000000000000002,,,,,,,,90934398.617,3.804,-61107.301,3.543
^{92}_{35}Br57,35,57,Br,,,,,false,0.314,0.016,,B-,1.0,,B-N,0.331,0.025,,,,,,,,91939631.595,7.202,-56232.812,6.709
^{93}_{35}Br58,35,58,Br,,,,,false,0.102,0.01,,B-,1.0,,B-N,0.68,0.07,,,,,,,,92943220.0,462.5,-52890.235,430.816
^{94}_{35}Br59,35,59,Br,,,,,false,0.07,0.02,,B-,1.0,,B-N,0.68,0.16,,,,,,,,93948846.0,215.0,-47650.0,200.0
^{95}_{35}Br60,35,60,Br,,,,,false,1.5e-7,,,B-,1.0,,B-N,0.34,,,,,,,,,94952925.0,322.0,-43850.0,300.0
^{96}_{35}Br61,35,61,Br,,,,,false,1.5e-7,,,B-,1.0,,B-N,0.276,,,,,,,,,95958980.0,322.0,-38210.0,300.0
^{97}_{35}Br62,35,62,Br,,,,,false,,,,B-,1.0,,B-2N,,,B-N,,,,,,,96963499.0,429.0,-34000.0,400.0
^{98}_{35}Br63,35,63,Br,,,,,false,,,,B-,1.0,,B-2N,,,B-3N,,,,,,,97969887.0,429.0,-28050.0,400.0
^{101}_{35}Br66,35,66,Br,,,,,false,,,,B-,1.0,,B-2N,,,B-3N,,,,,,,,,,
^{67}_{36}Kr31,36,31,Kr,,,,,false,0.0074,0.003,,EC,0.63,,EC+B+,0.63,0.14,2P,0.37,0.14,,,,,66983305.0,455.0,-15552.0,424.0
^{68}_{36}Kr32,36,32,Kr,,,,,false,0.0216,0.0033,,EC+B+,1.0,,ECP,0.89,0.11,,,,,,,,67972489.0,537.0,-25626.0,500.0
^{69}_{36}Kr33,36,33,Kr,,,,,false,0.028,0.001,,EC+B+,1.0,,B+P,0.99,,,,,,,,,68965496.0,322.0,-32140.0,300.0
^{70}_{36}Kr34,36,34,Kr,,,,,false,0.04,0.006,,EC+B+,1.0,,ECP,0.013000000000000001,,,,,,,,,69955877.0,215.0,-41100.0,200.0
^{71}_{36}Kr35,36,35,Kr,,,,,false,0.0949,0.0004,,EC+B+,1.0,,ECP,0.030600000000000002,0.0027,,,,,,,,70950265.695,138.238,-46327.211,128.769
^{72}_{36}Kr36,36,36,Kr,4.1635,0.006,,,false,17.1,0.2,,EC+B+,1.0,,ECP,1e-8,,,,,,,,,71942092.406,8.6,-53940.582,8.011
^{73}_{36}Kr37,36,37,Kr,,,,,false,27.3,1.0,,EC+B+,1.0,,ECP,0.0025,0.0003,,,,,,,,72939289.193,7.061,-56551.758,6.578
^{74}_{36}Kr38,36,38,Kr,4.187,0.0041,,,false,690.0,6.6,,EC+B+,1.0,,,,,,,,,,,,73933084.016,2.161,-62331.844,2.013
^{75}_{36}Kr39,36,39,Kr,4.2097,0.0041,,,false,276.0,4.2,,EC+B+,1.0,,,,,,,,-0.531,0.004,1.137,0.013,74930945.744,8.7,-64323.632,8.104
^{76}_{36}Kr40,36,40,Kr,4.202,0.0036,,,false,53280.0,360.0,,EC+B+,1.0,,,,,,,,,,,,75925910.743,4.308,-69013.706,4.013
^{77}_{36}Kr41,36,41,Kr,4.2082,0.0037,,,false,4275.0,25.2,,EC+B+,1.0,,,,,,,,-0.583,0.003,0.948,0.01,76924669.999,2.1,-70169.451,1.956
^{78}_{36}Kr42,36,42,Kr,4.2038,0.0033,0.0035499999999999998,0.00003,true,,,,,,,,,,,,,1.8,0.4,,,77920366.341,0.329,-74178.283,0.307
^{79}_{36}Kr43,36,43,Kr,4.2034,0.0032,,,false,126144.0,360.0,,EC+B+,1.0,,,,,,,,0.536,0.002,,,78920082.919,3.736,-74442.29,3.48
^{80}_{36}Kr44,36,44,Kr,4.197,0.0029,0.022860000000000002,0.0001,true,,,,,,,,,,,,,,,,,79916377.94,0.745,-77893.455,0.695
^{81}_{36}Kr45,36,45,Kr,4.1952,0.0026,,,false,7226536048181.57,347126185720.512,,EC,1.0,,,,,,,,-0.907,0.002,0.644,0.004,80916589.703,1.152,-77696.199,1.074
^{82}_{36}Kr46,36,46,Kr,4.1919,0.0025,0.11593,0.00031,true,,,,,,,,,,,,,0.8,0.13,,,81913481.15368,0.00591,-80591.79509,0.00551
^{83}_{36}Kr47,36,47,Kr,4.1871,0.0023,0.115,0.00018999999999999998,true,,,,,,,,,,,,,-0.97073,3e-6,0.259,0.001,82914126.516,0.009,-79990.643,0.009
^{84}_{36}Kr48,36,48,Kr,4.1884,0.0022,0.56987,0.00015,true,,,,,,,,,,,,,,,,,83911497.72708,0.0041,-82439.34527,0.00382
^{85}_{36}Kr49,36,49,Kr,4.1846,0.0022,,,false,338889828.041144,441796.963644288,,B-,1.0,,,,,,,,-1.0055,0.0004,0.443,0.003,84912527.26,2.147,-81480.341,2.0
^{86}_{36}Kr50,36,50,Kr,4.1835,0.0021,0.17279,0.00041,true,,,,,,,,,,,,,2.2,0.4,,,85910610.62468,0.00399,-83265.67593,0.00372
^{87}_{36}Kr51,36,51,Kr,4.1984,0.0027,,,false,4578.0,30.0,,B-,1.0,,,,,,,,-1.022,0.002,-0.3,0.003,86913354.759,0.264,-80709.531,0.246
^{88}_{36}Kr52,36,52,Kr,4.2171,0.0043,,,false,10170.0,68.4,,B-,1.0,,,,,,,,,,,,87914447.879,2.8,-79691.295,2.608
^{89}_{36}Kr53,36,53,Kr,4.2286,0.0054,,,false,189.0,2.4,,B-,1.0,,,,,,,,-0.33,0.003,0.166,0.002,88917835.449,2.3,-76535.795,2.142
^{90}_{36}Kr54,36,54,Kr,4.2423,0.0069,,,false,32.32,0.09,,B-,1.0,,,,,,,,,,,,89919527.929,2.0,-74959.259,1.863
^{91}_{36}Kr55,36,55,Kr,4.2543,0.0081,,,false,8.57,0.04,,B-,1.0,,,,,,,,-0.583,0.002,0.303,0.006,90923806.309,2.4,-70973.974,2.236
^{92}_{36}Kr56,36,56,Kr,4.2724,0.0099,,,false,1.84,0.008,,B-,1.0,,B-N,0.000332,0.000025,,,,,,,,91926173.092,2.9,-68769.329,2.701
^{93}_{36}Kr57,36,57,Kr,4.2794,0.0107,,,false,1.286,0.01,,B-,1.0,,B-N,0.0195,0.0011,,,,-0.413,0.002,,,92931147.172,2.7,-64136.002,2.515
^{94}_{36}Kr58,36,58,Kr,4.3002,0.0129,,,false,0.212,0.005,,B-,1.0,,B-N,0.0111,0.0007000000000000001,,,,,,-0.5,0.3,93934140.452,13.0,-61347.78,12.109
^{95}_{36}Kr59,36,59,Kr,4.3067,0.0136,,,false,0.114,0.003,,B-,1.0,,B-N,0.0287,0.0018,,,,-0.41,0.003,,,94939710.922,20.0,-56158.92,18.63
^{96}_{36}Kr60,36,60,Kr,4.3267,0.0158,,,false,0.08,0.008,,B-,1.0,,B-N,0.037000000000000005,0.004,,,,,,,,95943014.473,20.695,-53081.682,19.277
^{97}_{36}Kr61,36,61,Kr,,,,,false,0.063,0.004,,B-,1.0,,B-N,0.067,0.006,,,,,,,,96949088.782,140.0,-47423.499,130.409
^{98}_{36}Kr62,36,62,Kr,,,,,false,0.043,0.004,,B-,1.0,,B-N,0.07,0.01,B-2N,,,,,,,97952635.0,322.0,-44120.0,300.0
^{99}_{36}Kr63,36,63,Kr,,,,,false,0.013,0.02,,B-,1.0,,B-N,0.11,0.07,,,,,,,,98958776.0,429.0,-38400.0,400.0
^{100}_{36}Kr64,36,64,Kr,,,,,false,0.007,0.007,,B-,1.0,,B-N,,,B-2N,,,,,,,99962995.0,429.0,-34470.0,400.0
^{101}_{36}Kr65,36,65,Kr,,,,,false,6.35e-7,,,B-,,,B-N,,,B-2N,,,,,,,100969318.0,537.0,-28580.0,500.0
^{102}_{36}Kr66,36,66,Kr,,,,,false,,,,B-,1.0,,B-N,,,B-2N,,,,,,,,,,
^{72}_{37}Rb35,37,35,Rb,,,,,false,1.03e-7,2.2e-8,,P,,,EC+B+,,,,,,,,,,71958851.0,537.0,-38330.0,500.0
^{73}_{37}Rb36,37,36,Rb,,,,,false,8.1e-8,,,P,,,EC+B+,,,,,,,,,,72950604.506,43.794,-46011.611,40.794
^{74}_{37}Rb37,37,37,Rb,,,,,false,0.064776,0.00003,,EC+B+,1.0,,,,,,,,,,,,73944265.867,3.249,-51916.016,3.027
^{75}_{37}Rb38,37,38,Rb,,,,,false,19.0,1.2,,EC+B+,1.0,,,,,,,,0.579,0.001,0.81,0.04,74938573.2,1.266,-57218.702,1.18
^{76}_{37}Rb39,37,39,Rb,4.2273,0.007,,,false,36.5,0.6,,EC+B+,1.0,,ECA,3.8e-9,9.999999999999999e-10,,,,-0.372552,0.000011,0.41,0.09,75935073.031,1.006,-60479.089,0.938
^{77}_{37}Rb40,37,40,Rb,4.2356,0.008,,,false,226.8,2.4,,EC+B+,1.0,,,,,,,,0.65434,0.00002,0.84,0.17,76930401.599,1.4,-64830.5,1.304
^{78}_{37}Rb41,37,41,Rb,4.2385,0.0083,,,false,1059.6,1.8,,EC+B+,1.0,,,,,,,,2.548,0.001,1.07,0.03,77928141.866,3.475,-66935.427,3.237
^{79}_{37}Rb42,37,42,Rb,4.2284,0.0065,,,false,1374.0,30.0,,EC+B+,1.0,,,,,,,,3.3573,0.0012,-0.12,0.04,78923990.095,2.085,-70802.778,1.943
^{80}_{37}Rb43,37,43,Rb,4.2271,0.0061,,,false,33.4,0.7,,EC+B+,1.0,,,,,,,,-0.0833,0.0007,0.42,0.08,79922516.442,2.0,-72175.476,1.863
^{81}_{37}Rb44,37,44,Rb,4.2213,0.0051,,,false,16459.2,14.4,,EC+B+,1.0,,,,,,,,2.0591,0.0014,0.48,0.1,80918993.9,5.265,-75456.704,4.904
^{82}_{37}Rb45,37,45,Rb,4.216,0.0042,,,false,75.45,0.012,,EC+B+,1.0,,,,,,,,0.554403,0.000016,0.23,0.1,81918209.023,3.23,-76187.813,3.009
^{83}_{37}Rb46,37,46,Rb,4.2058,0.0028,,,false,7447680.0,8640.0,,EC,1.0,,,,,,,,1.4246,0.0008,0.24,0.05,82915114.181,2.5,-79070.639,2.329
^{84}_{37}Rb47,37,47,Rb,4.1999,0.0023,,,false,2835648.0,6048.0,,EC+B+,0.961,0.02,B-,0.039,0.02,,,,-1.325,0.002,-0.02,0.04,83914375.223,2.355,-79758.975,2.194
^{85}_{37}Rb48,37,48,Rb,4.2036,0.0024,0.7217,0.0002,true,,,,,,,,,,,,,1.35306,0.00004,0.276,0.001,84911789.73604,0.00537,-82167.34065,0.005
